"Maize","Rice - Local","Paddy Rice","Imporetd Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"65.00","87.00","N/A","77.00","84.00","82.00","27.00","203.00","65.00","10.00","12.00","38.00","162.00","250.00","120.00","100.00","166.00","185.00","14.00","45.00","9.00","8.00","ACCRA",2011-05-07
" 75"," 80"," 70"," 80","130","130"," 40","350"," 45","  8"," 15"," 40","200","250","120"," 90","146","280"," 50"," 30"," 12","  7","TEMA",2011-05-07
"70.00","45.00","60.00","58.00","90.00","85.00","28.00","250.00","80.00","6.50","10.00","28.00","N/A","200.00","160.00","180.00","150.00","190.00","30.00","25.00","6.00","7.00","SEKTDI",2011-05-07
"82.00","65.00","N/A","66.00","87.00","80.00","25.00","N/A","70.00","7.50","8.50","28.00","200.00","120.00","60.00","90.00","130.00","200.00","20.00","45.00","6.00","6.50","KDUA",2011-05-07
" 80.0"," 65.0"," 65.0"," 90.0","100.0","110.0"," 17.0","200.0"," 75.0","  5.0","  9.0"," 28.0","140.0","180.0"," 70.0","120.0","140.0","150.0"," 14.0"," 25.0","  6.5","  6.0","CCOAST",2011-05-07
"82.00","65.00","67.00","90.00","98.00","130.00","19.50","220.00","67.00","6.50","9.00","25.00","130.00","220.00","85.00","N/A","160.00","170.00","18.00","18.00","9.00","7.60","MKESSIM",2011-05-07
" 50.0"," 53.0"," 75.0"," 75.0"," 70.0"," 66.0"," 18.0","140.0"," 30.0","  3.3","  6.0"," 22.0"," 85.0"," 70.0"," 40.0"," 84.0","100.0","150.0"," 17.0"," 25.0","  3.4","  7.0","KUMASI",2011-05-07
"58.00","45.00","50.00","75.00","64.00","56.00","12.00","200.00","50.00","5.00","10.00","35.00","90.00","130.00","30.00","100.00","160.00","170.00","18.00","N/A","12.00","6.00","EJURA",2011-05-07
"80.00","45.00","75.00","66.00","100.00","100.00","10.00","200.00","80.00","5.00","10.00","31.00","90.00","260.00","55.00","N/A","250.00","180.00","14.00","50.00","7.00","6.00","OBUASI",2011-05-07
" 52.0"," 50.0"," 65.0"," 88.0"," 80.0"," 80.0"," 25.0","185.0"," 63.0","  4.0","  6.0"," 30.0","115.0","200.0"," 60.0","120.0","130.0","160.0"," 20.0"," 33.0"," 10.0","  5.2","SUNYANI",2011-05-07
"46.00","40.00","40.00","81.00","60.00","60.00","24.00","240.00","85.00","4.50","6.50","18.00","140.00","125.00","50.00","N/A","96.00","160.00","35.00","N/A","6.00","6.00","TMAN",2011-05-07
" 64.0"," 68.0"," 74.0"," 90.0"," 86.0"," 78.0"," 23.0","150.0"," 44.0","  5.5","  5.5"," 37.0","144.0","180.0"," 80.0","120.0","185.0","164.0"," 20.0"," 35.0","  9.0","  7.5","HO",2011-05-07
"38.00","35.00","30.00","70.00","54.00","46.00","70.00","120.00","N/A","7.00","8.00","56.00","50.00","200.00","40.00","100.00","100.00","160.00","140.00","N/A","9.00","7.00","TAMALE",2011-05-07
"50.00","65.00","34.00","65.00","56.00","54.00","50.00","120.00","N/A","12.00","10.00","28.00","N/A","90.00","N/A","80.00","120.00","N/A","N/A","N/A",NA,"7.00","BOLGA",2011-05-07
"43.00","57.00","55.00","70.00","72.00","58.00","36.00","140.00","N/A","10.00","N/A","41.00","267.00","260.00","100.00","120.00","117.00","170.00","N/A","N/A","20.00","6.00","WA",2011-05-07
