"Maize","Rice - Local","Paddy Rice","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"58.00","85.00","N/A","76.00","80.00","77.00","26.00","193.00","61.00","9.00","11.00","38.00","164.00","155.00","118.00","133.00","154.00","177.00","13.00","45.00","9.00","8.00","ACCRA",2011-04-23
" 67"," 80"," 70"," 80","130","130"," 50","300"," 40","  6"," 12"," 40","200","160","120","100","170","280"," 50"," 40"," 10","  7","TEMA",2011-04-23
" 65.0"," 43.0"," 54.0"," 54.0"," 85.0"," 80.0"," 30.0","250.0"," 80.0","  7.0"," 10.0"," 28.0","140.0","200.0","150.0","120.0","140.0","180.0"," 25.0"," 26.0","  6.0","  7.2","SEKTDI",2011-04-23
"73.00","65.00","N/A","66.00","80.00","80.00","26.00","N/A","75.00","6.50","7.50","28.00","200.00","100.00","60.00","N/A","130.00","200.00","20.00","35.00","8.00","6.50","KDUA",2011-04-23
" 81.0"," 65.0"," 55.0"," 90.0","100.0","110.0"," 17.0","200.0"," 65.0","  5.0","  8.0"," 28.0","140.0","160.0","  7.0","120.0","140.0","150.0","  8.5"," 25.0","  6.0","  6.0","CCOAST",2011-04-23
" 75.0"," 62.5"," 65.0"," 87.0"," 96.0","130.0"," 19.0","220.0"," 56.8","  5.8","  8.5"," 24.0","140.0","130.0"," 94.0","100.0","160.0","170.0"," 17.0"," 18.0","  7.0","  7.5","MKESSIM",2011-04-23
" 50.0"," 50.0"," 80.0"," 78.0"," 68.0"," 66.0"," 14.0","140.0"," 32.0","  3.3","  6.2"," 22.0"," 80.0"," 90.0"," 48.0"," 85.0","100.0","150.0"," 16.0"," 32.0","  3.4","  6.5","KUMASI",2011-04-23
"50.00","45.00","50.00","75.00","60.00","55.00","10.00","200.00","50.00","2.00","4.00","35.00","90.00","80.00","30.00","80.00","110.00","150.00","18.00","N/A","12.00","6.00","EJURA",2011-04-23
"80.00","45.00","75.00","65.00","100.00","100.00","13.00","200.00","80.00","5.00","10.00","31.00","150.00","120.00","150.00","N/A","250.00","180.00","14.00","50.00","7.00","7.00","OBUASI",2011-04-23
" 44.0"," 50.0"," 65.0"," 88.0"," 80.0"," 80.0"," 25.0","185.0"," 54.0","  4.0","  5.5"," 30.0","100.0","150.0"," 80.0","130.0","130.0","160.0"," 20.0"," 33.0","  9.0","  5.5","SUNYANI",2011-04-23
"46.00","40.00","40.00","81.00","55.00","60.00","23.00","240.00","85.00","4.50","6.50","18.00","137.00","70.00","50.00","N/A","132.00","142.00","35.00","N/A","6.00","6.00","TMAN",2011-04-23
" 54"," 68"," 90"," 75"," 86"," 78"," 23","165"," 43","  5","  5"," 37","  3","110"," 80"," 80","153","156"," 17"," 35","  9","  7","HO",2011-04-23
"38.00","35.00","30.00","70.00","54.00","46.00","70.00","100.00","N/A","7.00","8.00","56.00","60.00","90.00","40.00","100.00","150.00","140.00","N/A","N/A","9.00","7.00","TAMALE",2011-04-23
"42.00","60.00","34.00","65.00","56.00","54.00","50.00","120.00","N/A","10.00","8.00","28.00","N/A","80.00","N/A","80.00","120.00","N/A","N/A","N/A",NA,"7.00","BOLGA",2011-04-23
"43.00","54.00","55.00","70.00","72.00","58.00","36.00","140.00","N/A","10.00","N/A","40.00","267.00","39.00","100.00","120.00","117.00","144.00","N/A","N/A","20.00","6.00","WA",2011-04-23
