"Maize","Rice - Local","Paddy Rice","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"58.00","94.00","N/A","78.00","84.00","85.00","25.00","180.00","57.00","6.00","8.00","38.00","160.00","118.00","115.00","163.00","146.00","167.00","13.00","45.00","7.00","7.00","ACCRA",2011-03-05
" 67"," 80"," 70"," 80","130","130"," 35","250"," 50","  5","  8"," 40","200","150","120","150","170","220"," 50"," 35","  7","  7","TEMA",2011-03-05
" 66.0"," 60.0"," 58.0"," 60.0"," 90.0"," 85.0"," 30.0","260.0"," 90.0","  6.5"," 10.0"," 28.0","150.0","120.0","100.0","170.0","140.0","170.0"," 30.0"," 28.0","  6.0","  7.0","SEKTDI",2011-03-05
"65.00","65.00","N/A","66.00","90.00","90.00","26.00","140.00","75.00","5.00","6.00","30.00","250.00","70.00","120.00","130.00","140.00","180.00","20.00","35.00","7.00","6.50","KDUA",2011-03-05
" 82"," 65"," 65"," 80","100","110"," 17","200"," 60","  5","  8"," 28","140","140"," 90","170","140","150","  9"," 20","  6","  6","CCOAST",2011-03-05
" 78.0"," 65.0"," 65.0"," 82.0","100.0","120.0"," 15.0","180.0"," 63.0","  5.0","  7.5"," 25.0","140.0","120.0","100.0","160.0","140.0","150.0","  9.0"," 15.0","  6.0","  6.5","MKESSIM",2011-03-05
" 50.0"," 55.0"," 80.0"," 70.0"," 68.0"," 65.0"," 13.0","140.0"," 26.0","  3.2","  6.4"," 23.0","150.0"," 60.0","110.0","150.0","100.0","130.0"," 10.0"," 24.0","  3.2","  6.5","KUMASI",2011-03-05
"38.00","40.00","40.00","85.00","60.00","55.00","9.00","150.00","50.00","3.00","7.00","35.00","120.00","80.00","100.00","100.00","109.00","150.00","18.00","N/A","8.00","6.00","EJURA",2011-03-05
"70.00","45.00","N/A","108.00","100.00","120.00","12.00","140.00","60.00","5.50","10.00","30.00","150.00","70.00","120.00","N/A","180.00","150.00","14.00","50.00","7.00","7.00","OBUASI",2011-03-05
" 44.0"," 50.0"," 65.0"," 78.0"," 80.0"," 80.0"," 25.0","180.0"," 64.0","  2.0","  3.0"," 36.0","125.0"," 70.0","100.0","150.0","130.0","150.0"," 20.0"," 35.0","  8.0","  5.7","SUNYANI",2011-03-05
"37.00","40.00","43.00","80.00","65.00","60.00","18.00","180.00","85.00","4.00","6.00","22.00","160.00","156.00","72.00","140.00","95.00","140.00","52.00","N/A","5.00","6.00","TMAN",2011-03-05
" 45.0"," 68.0"," 90.0"," 69.0"," 86.0"," 78.0"," 21.0","156.0"," 44.0","  5.0","  5.5"," 40.0","144.0"," 80.0"," 80.0","160.0","153.0","156.0"," 20.0"," 35.0","  5.0","  7.5","HO",2011-03-05
"38.00","32.00","30.00","70.00","60.00","60.00","70.00","80.00","N/A","7.00","8.00","56.00","67.00","60.00","40.00","280.00","120.00","120.00","N/A","N/A","9.00","7.00","TAMALE",2011-03-05
"42.00","50.00","N/A","65.00","50.00","52.00","40.00","100.00","N/A","8.00","6.00","28.00","N/A","30.00","N/A",NA,"112.00",NA,"N/A","N/A","30.00","7.00","BOLGA",2011-03-05
"43.00","54.00","44.00","69.00","72.00","62.00","36.00","140.00","N/A","10.00","N/A","40.00","267.00","19.00","100.00","150.00","117.00","137.00","N/A","N/A","10.00","6.00","WA",2011-03-05
