"Maize","Rice - Local","Imporetd Rice","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"91.00","95.50","103.00","N/A","87.00","85.00","25.00","167.00","65.00","10.00","13.00","39.00","123.00","115.00","62.00","145.00","164.00","246.00","24.00","30.00","10.00","8.00","ACCRA",2011-08-19
"63.00","140.00","105.00","70.00","130.00","130.00","40.00","N/A","40.00","8.00","12.00","30.00","220.00","80.00","80.00","150.00","150.00","340.00","50.00","35.00","12.00","7.00","TEMA",2011-08-19
"100.0"," 50.0"," 71.5"," 65.0"," 90.0"," 80.0"," 30.0","220.0"," 80.0","  8.0"," 11.0"," 32.0","220.0"," 70.0"," 70.0","200.0","160.0","240.0"," 30.0"," 30.0","  7.5","  7.5","SEKTDI",2011-08-19
"92.00","61.50","96.50","N/A","90.00","90.00","24.00","160.00","70.00","8.50","11.00","31.00","200.00","80.00","80.00","120.00","160.00","305.00","24.00","26.00","8.00","6.50","KDUA",2011-08-19
" 90"," 75","101"," 67","100","110"," 18","200"," 80","  5","  9"," 30","140"," 70"," 80","170","150","250","  8"," 12","  7","  7","CCOAST",2011-08-19
" 95.0"," 73.0","114.5"," 72.0"," 92.0","130.0"," 14.0","160.0"," 84.0","  7.0","  9.0"," 32.0"," 70.0"," 35.0"," 85.0","110.0","145.0","220.0"," 17.0"," 14.0","  9.0","  7.0","MKESSIM",2011-08-19
" 83.0"," 63.0"," 73.0"," 84.0"," 75.0"," 70.0"," 18.0","145.0"," 32.0","  3.3","  6.2"," 23.0","150.0","124.0"," 30.0","150.0","105.0","240.0"," 11.0"," 24.0","  3.5","  7.0","KUMASI",2011-08-19
"46.00","54.00","77.50","60.00","70.00","70.00","10.00","150.00","50.00","5.00","10.00","35.00","90.00","40.00","40.00","130.00","130.00","170.00","12.00","6.00","12.00","N/A","EJURA",2011-08-19
"100.00","47.00","87.00","75.00","90.00","95.00","10.00","180.00","45.00","10.00","18.00","25.00","110.00","25.00","60.00","N/A","200.00","210.00","10.00","20.00","7.00","6.50","OBUASI",2011-08-19
" 56.0"," 56.0"," 91.5","100.0"," 85.0"," 85.0"," 15.0"," 90.0"," 64.0","  4.0","  5.0"," 32.0"," 85.0"," 40.0"," 50.0","160.0","130.0","200.0"," 25.0"," 28.0"," 10.0","  6.0","SUNYANI",2011-08-19
"65.00","59.50","83.00","48.00","70.00","75.00","24.00","100.00","70.00","5.00","10.00","25.00","150.00","40.00","44.00","200.00","110.00","200.00","20.00","N/A","4.00","5.00","TMAN",2011-08-19
"77.00","55.00","75.00","78.00","85.00","100.00","23.00","235.00","N/A","8.00","8.00","43.00","144.00","80.00","54.00","130.00","196.00","189.00","20.00","34.00","10.00","8.00","HO",2011-08-19
"68.00","62.50","98.00","45.00","76.00","64.00","50.00","120.00","N/A","10.00","15.00","43.00","38.00","N/A","70.00","160.00","94.00","160.00","N/A","N/A","50.00","8.00","TAMALE",2011-08-19
"60.00","63.00","67.50","45.00","70.00","70.00","50.00","140.00","N/A","12.00","11.00","28.00","N/A","N/A","160.00","100.00","N/A","N/A","N/A","N/A","N/A","7.00","BOLGA",2011-08-19
"54.00","70.00","104.00","58.00","72.00","62.00","35.00","120.00","N/A","15.00","N/A","43.00","266.00","66.00","140.00","150.00","116.00","188.00","N/A","N/A","20.00","7.00","WA",2011-08-19
