"Maize","Rice - Local","Imporetd Rice","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"80.00","72.00","78.00","N/A","86.00","86.00","25.00","232.00","64.00","12.00","14.00","40.00","187.00","143.00","153.00","122.00","164.00","218.00","20.00","42.00","9.00","8.00","ACCRA",2011-06-25
" 83"," 80"," 80"," 70","100","100"," 40","400"," 50"," 15"," 25"," 30","200","130","250","120","146","280"," 50"," 35"," 10","  7","TEMA",2011-06-25
" 85.0"," 75.0"," 75.0"," 64.0"," 90.0"," 85.0"," 32.0","280.0"," 85.0","  7.0"," 10.0"," 32.0","300.0","180.0","280.0","200.0","150.0","240.0"," 35.0"," 40.0"," 15.0","  7.5","SEKTDI",2011-06-25
"82.00","65.00","70.00","N/A","90.00","90.00","24.00","N/A","70.00","8.00","10.00","28.00","250.00","110.00","200.00","120.00","160.00","240.00","20.00","43.00","8.00","6.50","KDUA",2011-06-25
" 93.0"," 60.0"," 60.0"," 65.0","100.0","110.0"," 17.0","280.0"," 80.0","  6.0","  9.0"," 28.0","140.0"," 90.0","180.0","120.0","140.0","150.0"," 10.0"," 25.0","  9.0","  6.5","CCOAST",2011-06-25
" 96.0"," 60.0"," 60.0"," 67.0","100.0","135.0"," 15.0","250.0"," 76.0","  7.6"," 10.0"," 25.0"," 90.0"," 54.0","180.0","130.0","180.0","200.0"," 17.0"," 17.0","  6.4","  7.3","MKESSIM",2011-06-25
"83.00","55.00","75.00","88.00","75.00","72.00","20.00","165.00","32.00","3.40","6.00","23.00","150.00","114.00","85.00","N/A","100.00","200.00","12.00","26.00","3.50","7.00","KUMASI",2011-06-25
"63.00","55.00","75.00","50.00","70.00","65.00","10.00","200.00","50.00","7.00","15.00","35.00","90.00","100.00","90.00","100.00","130.00","220.00","18.00","N/A","12.00","6.00","EJURA",2011-06-25
"100.00","48.00","94.00","75.00","67.00","100.00","10.00","230.00","55.00","10.00","15.00","25.00","140.00","110.00","120.00","N/A","185.00","185.00","10.00","27.00","7.00","6.00","OBUASI",2011-06-25
" 64"," 50"," 88","100"," 85"," 85"," 20","250"," 56","  5","  6"," 30","125","120","100","130","140","185"," 25"," 30"," 10","  6","SUNYANI",2011-06-25
"52.00","50.00","81.00","50.00","72.00","65.00","23.00","220.00","60.00","5.00","7.00","18.00","200.00","80.00","63.00","N/A","100.00","180.00","20.00","N/A","7.00","6.00","TMAN",2011-06-25
"73.00","70.00","85.00","90.00","89.00","87.00","25.00","220.00","N/A","10.00","11.00","40.00","144.00","50.00","140.00","120.00","196.00","187.00","20.00","N/A","9.00","8.50","HO",2011-06-25
"50.00","34.00","72.00","38.00","70.00","60.00","60.00","150.00","N/A","8.00","9.00","43.00","52.00","N/A","200.00","N/A","126.00","178.00","N/A","N/A","10.00","8.00","TAMALE",2011-06-25
"55.00","60.00","70.00","40.00","70.00","54.00","60.00","120.00","N/A","10.00","10.00","28.00","N/A","N/A","260.00","90.00","N/A","N/A","N/A","N/A",NA,"7.00","BOLGA",2011-06-25
"50.00","36.00","70.00","55.00","65.00","59.00","35.00","N/A","120.00","15.00","N/A","40.00","267.00","134.00","N/A","120.00","125.00","170.00","N/A","N/A","20.00","7.00","WA",2011-06-25
