"Maize","Rice - Local","Imporetd Rice","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"91.00","95.00","103.00","N/A","87.00","85.00","25.00","167.00","65.00","10.00","13.00","39.00","123.00","115.00","62.00","145.00","164.00","246.00","24.00","30.00","10.00","8.00","ACCRA",2011-08-27
"63.00","140.00","105.00","70.00","130.00","130.00","40.00","N/A","40.00","8.00","12.00","30.00","220.00","80.00","80.00","150.00","150.00","340.00","50.00","35.00","12.00","7.00","TEMA",2011-08-27
"90.00","60.00","75.00","55.00","90.00","85.00","26.00","180.00","80.00","7.00","9.00","28.00","N/A","60.00","70.00","180.00","160.00","250.00","25.00","25.00","10.00","7.50","SEKTDI",2011-08-27
"72.00","68.00","100.00","N/A","90.00","N/A","24.00","150.00","75.00","8.50","10.00","31.00","50.00","25.00","55.00","130.00","160.00","305.00","24.00","25.00","6.00","6.50","KDUA",2011-08-27
" 90"," 80","114"," 67","100","110"," 17","200"," 80","  6","  9"," 30","130"," 70"," 85","180","150","150"," 15"," 12","  8","  7","CCOAST",2011-08-27
" 90.0"," 82.0","116.0"," 75.0"," 92.0","130.0"," 15.0","150.0"," 80.0","  6.5","  9.0"," 32.0"," 70.0"," 33.0"," 80.0","170.0","145.0","230.0"," 17.0"," 14.0","  9.0","  7.0","MKESSIM",2011-08-27
" 84.0"," 62.0"," 73.0"," 88.0"," 76.0"," 72.0"," 16.0","140.0"," 30.0","  3.0","  6.3"," 23.0","150.0","120.0"," 40.0","150.0","110.0","220.0"," 10.0"," 22.0","  3.4","  7.0","KUMASI",2011-08-27
"46.00","58.00","80.00","60.00","70.00","70.00","10.00","150.00","50.00","5.00","10.00","35.00","90.00","30.00","40.00","130.00","130.00","170.00","20.00","N/A","12.00","6.00","EJURA",2011-08-27
"100.00","47.00","89.00","75.00","90.00","95.00","10.00","180.00","50.00","6.00","16.00","25.00","112.00","50.00","45.00","N/A","200.00","210.00","10.00","33.00","7.00","6.50","OBUASI",2011-08-27
" 56.0"," 72.0"," 80.0","100.0"," 85.0"," 85.0"," 15.0","100.0"," 64.0","  5.0","  6.0"," 32.0"," 85.0"," 48.0"," 40.0","160.0","130.0","185.0"," 25.0"," 28.0"," 10.0","  5.6","SUNYANI",2011-08-27
"65.00","56.00","82.00","48.00","80.00","80.00","24.00","110.00","80.00","5.00","10.00","65.00","150.00","40.00","44.00","140.00","110.00","180.00","30.00","N/A","5.00","5.00","TMAN",2011-08-27
"77.00","79.00","77.00","N/A","89.00","100.00","24.00","230.00","N/A","7.50","8.00","43.00","144.00","75.00","37.00","135.00","185.00","180.00","20.00","38.00","9.00","8.00","HO",2011-08-27
"68.00","54.00","84.00","40.00","72.00","64.00","50.00","120.00","N/A","10.00","15.00","43.00","40.00","N/A","70.00","95.00","140.00","160.00","N/A","N/A","40.00","8.00","TAMALE",2011-08-27
"60.00","65.00","68.00","45.00","70.00","70.00","60.00","170.00","N/A","12.00","11.00","28.00","N/A","N/A","180.00","N/A","N/A","N/A","N/A","10.00","N/A","7.00","BOLGA",2011-08-27
"54.00","70.00","74.00","58.00","72.00","62.00","35.00","120.00","N/A","15.00","N/A","43.00","266.00","66.00","140.00","150.00","116.00","188.00","N/A","N/A","20.00","7.00","WA",2011-08-27
