"Maize","Rice - Local","Paddy Rice","Imporetd Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"78.00","88.00","N/A","76.00","85.00","82.00","26.00","210.00","66.00","9.00","13.00","38.00","183.00","300.00","125.00","100.00","169.00","189.00","19.00","41.00","10.00","7.00","ACCRA",2011-05-21
" 83"," 80"," 70"," 80","100","100"," 40","350"," 45","  8"," 15"," 30","200","250","120"," 90","146","280"," 50"," 30"," 10","  7","TEMA",2011-05-21
"100.0"," 45.0"," 64.0"," 65.0"," 90.0"," 85.0"," 28.0","260.0"," 90.0","  7.5","  9.0"," 28.0","180.0","280.0","150.0","120.0","140.0","200.0"," 32.0"," 30.0","  6.0","  7.2","SEKTDI",2011-05-21
"82.00","65.00","N/A","66.00","90.00","90.00","25.00","N/A","70.00","7.50","9.00","28.00","250.00","70.00","80.00","90.00","160.00","200.00","20.00","40.00","7.00","6.50","KDUA",2011-05-21
" 90.0"," 65.0"," 65.0"," 90.0","100.0","110.0"," 17.0","200.0"," 80.0","  6.0","  9.0"," 28.0","140.0","180.0"," 80.0","120.0","140.0","150.0","  8.5"," 20.0","  8.0","  6.5","CCOAST",2011-05-21
" 95.0"," 70.0"," 67.0"," 90.0"," 98.0","130.0"," 16.8","230.0"," 23.5","  7.5","  9.0"," 25.0","120.0","230.0"," 87.0","120.0","160.0","175.0"," 13.0"," 18.0","  7.5","  7.8","MKESSIM",2011-05-21
" 79.0"," 55.0"," 80.0"," 75.0"," 75.0"," 70.0"," 20.0","150.0"," 22.0","  3.4","  6.0"," 22.0","100.0"," 60.0"," 88.0"," 80.0","100.0","150.0"," 11.0"," 25.0","  3.6","  7.0","KUMASI",2011-05-21
"67.00","55.00","50.00","75.00","64.00","56.00","12.00","200.00","50.00","5.00","10.00","35.00","120.00","80.00","80.00","N/A","140.00","250.00","18.00","N/A","12.00","6.00","EJURA",2011-05-21
"80.00","48.00","75.00","61.00","80.00","100.00","12.00","200.00","80.00","8.00","12.00","25.00","90.00","100.00","100.00","N/A","195.00","180.00","8.00","50.00","7.00","6.00","OBUASI",2011-05-21
" 80.0"," 50.0"," 65.0"," 90.0"," 80.0"," 80.0"," 25.0","190.0"," 56.0","  5.0","  6.0"," 30.0","115.0","200.0"," 75.0","110.0","130.0","160.0"," 20.0"," 30.0"," 12.0","  5.5","SUNYANI",2011-05-21
"48.00","50.00","50.00","81.00","72.00","68.00","24.00","240.00","60.00","4.00","6.00","18.00","140.00","50.00","72.00","N/A","120.00","170.00","40.00","N/A","5.00","6.00","TMAN",2011-05-21
"73.00","70.00","90.00","80.00","86.00","78.00","23.00","180.00","N/A","9.00","10.00","37.00","144.00","100.00","80.00","120.00","185.00","164.00","20.00","N/A","9.00","7.80","HO",2011-05-21
"50.00","43.00","34.00","70.00","70.00","58.00","60.00","120.00","N/A","9.00","8.00","54.00","30.00","100.00","50.00","100.00","118.00","166.00","N/A","N/A","9.00","8.00","TAMALE",2011-05-21
"60.00","75.00","40.00","70.00","70.00","54.00","50.00","120.00","N/A","10.00","10.00","28.00","N/A","200.00","N/A","100.00","N/A","N/A","N/A","N/A",NA,"7.00","BOLGA",2011-05-21
"43.00","58.00","54.00","70.00","60.00","58.00","36.00","140.00","N/A","10.00","N/A","40.00","267.00","260.00","83.00","120.00","125.00","153.00","N/A","N/A","20.00","6.00","WA",2011-05-21
