"Maize","Rice - Local","Imporetd Rice","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"70.00","95.00","105.00","N/A","90.00","90.00","25.00","167.00","67.00","10.00","12.00","41.00","178.00","81.00","40.00","118.00","155.00","205.00","24.00","41.00","10.00","8.00","ACCRA",2011-09-17
"67.00","90.00","105.00","130.00","130.00","130.00","40.00","N/A","50.00","5.00","10.00","30.00","200.00","70.00","70.00","140.00","150.00","240.00","50.00","40.00","10.00","7.00","TEMA",2011-09-17
"90.00","70.00","60.00","60.00","90.00","85.00","28.00","150.00","80.00","7.00","12.00","28.00","N/A","60.00","70.00","180.00","160.00","240.00","30.00","30.00","8.00","7.50","SEKTDI",2011-09-17
"65.00","68.00","100.00","N/A","90.00","90.00","23.00","160.00","70.00","6.50","7.00","31.00","250.00","100.00","80.00","150.00","160.00","240.00","24.00","24.00","3.00","6.50","KDUA",2011-09-17
" 58.0"," 80.0","103.5"," 70.0","100.0","110.0"," 16.0","180.0"," 80.0","  6.0","  9.0"," 30.0","140.0"," 80.0"," 70.0","180.0","150.0","230.0"," 10.0"," 15.0","  7.0","  6.5","CCOAST",2011-09-17
" 67.0"," 82.0","115.0"," 72.0"," 90.0","130.0"," 14.0","130.0"," 80.0","  5.5","  8.0"," 31.0"," 80.0"," 55.0"," 85.0","120.0","140.0","210.0"," 17.0"," 15.0","  6.0","  7.2","MKESSIM",2011-09-17
" 83.0"," 64.0"," 75.0"," 92.0"," 76.0"," 72.0"," 16.0","145.0"," 32.0","  3.0","  5.8"," 23.0","140.0","120.0"," 50.0","130.0","100.0","210.0"," 10.0"," 24.0","  3.4","  7.0","KUMASI",2011-09-17
"46.00","58.00","80.00","N/A","70.00","70.00","10.00","150.00","50.00","5.00","10.00","35.00","90.00","30.00","45.00","130.00","160.00","180.00","26.00","N/A","12.00","6.00","EJURA",2011-09-17
"85.00","46.50","91.50","75.00","90.00","95.00","12.00","137.00","50.00","5.00","10.00","25.00","130.00","50.00","45.00","N/A","190.00","192.00","10.00","25.00","7.00","6.00","OBUASI",2011-09-17
" 44.0"," 65.0","108.0","100.0"," 85.0"," 85.0"," 15.0"," 95.0"," 64.0","  5.0","  6.0"," 32.0","110.0"," 60.0"," 70.0","160.0","130.0","160.0"," 45.0"," 45.0","  7.0","  5.6","SUNYANI",2011-09-17
"50.00","58.00","113.00","N/A","68.00","80.00","24.00","120.00","70.00","5.00","12.00","23.00","150.00","40.00","80.00","160.00","110.00","220.00","30.00","N/A","5.00","6.00","TMAN",2011-09-17
"68.00","79.50","110.00","78.00","89.00","100.00","24.00","160.00","N/A","2.50","5.00","43.00","144.00","60.00","40.00","150.00","196.00","187.00","17.00","34.00","4.00","8.00","HO",2011-09-17
"48.00","46.00","138.00","44.00","72.00","80.00","60.00","80.00","N/A","8.00","43.00","63.00","67.00","N/A","60.00","100.00","120.00","N/A","N/A","22.00","5.00","8.00","TAMALE",2011-09-17
"55.00","65.00","67.50","50.00","70.00","70.00","N/A","100.00","N/A","8.00","10.00","28.00","N/A","N/A","60.00","N/A","N/A","N/A","N/A","7.00","N/A","7.00","BOLGA",2011-09-17
"64.00","55.00","106.00","73.00","75.00","77.00","35.00","90.00","N/A","15.00","N/A","43.00","213.00","50.00","14.00","150.00","117.00","154.00","N/A","N/A","20.00","7.00","WA",2011-09-17
