"Maize","Rice - Local","Paddy Rice","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"57.00","89.00","N/A","76.00","78.00","79.00","25.00","182.00","58.00","7.00","9.00","37.00","167.00","110.00","117.00","103.00","152.00","172.00","13.00","41.00","8.00","7.00","ACCRA",2011-04-02
" 67"," 80"," 70"," 80","130","130"," 40","250"," 50","  6"," 15"," 40","200","120","120"," 90","170","250"," 50"," 35","  8","  7","TEMA",2011-04-02
" 60.0"," 43.0"," 60.0"," 60.0"," 90.0"," 85.0"," 25.0","240.0"," 90.0","  6.5","  9.0"," 30.0","140.0","160.0","120.0","120.0","140.0","170.0"," 29.0"," 30.0","  6.0","  7.0","SEKTDI",2011-04-02
"61.00","65.00","N/A","66.00","80.00","80.00","25.00","160.00","70.00","6.00","7.50","28.00","200.00","75.00","140.00","N/A","130.00","208.00","20.00","40.00","8.00","6.00","KDUA",2011-04-02
" 80.0"," 65.0"," 65.0"," 90.0","100.0","110.0"," 17.0","200.0"," 62.0","  5.0","  8.0"," 28.0","140.0","160.0"," 90.0","150.0","140.0","150.0","  9.0"," 20.0","  6.0","  6.5","CCOAST",2011-04-02
" 78.0"," 62.5"," 64.0"," 85.0"," 95.0","120.0"," 18.0","190.0"," 65.0","  5.5","  8.0"," 24.0","150.0","120.0"," 98.0","130.0","145.0","150.0","130.0"," 19.0","  6.5","  6.5","MKESSIM",2011-04-02
"50.00","55.00","80.00","70.00","68.00","64.00","10.00","145.00","24.00","3.00","5.70","22.00","150.00","80.00","120.00","N/A","100.00","130.00","9.00","22.00","3.40","7.00","KUMASI",2011-04-02
"42.00","45.00","50.00","85.00","60.00","55.00","6.00","200.00","50.00","2.00","4.00","35.00","90.00","50.00","60.00","80.00","130.00","150.00","18.00","N/A","8.00","6.00","EJURA",2011-04-02
"70.00","45.00","75.00","108.00","110.00","125.00","12.00","140.00","80.00","6.50","115.00","31.00","150.00","100.00","80.00","N/A","150.00","150.00","14.00","50.00","7.00","7.00","OBUASI",2011-04-02
" 44.0"," 50.0"," 65.0"," 80.6"," 80.0"," 80.0"," 25.0","180.0"," 58.0","  2.0","  3.0"," 32.0","110.0","100.0","104.0","140.0","130.0","160.0"," 20.0"," 30.0","  8.0","  5.5","SUNYANI",2011-04-02
"32.00","40.00","40.00","80.00","60.00","60.00","24.00","160.00","50.00","3.00","6.00","18.00","140.00","60.00","60.00","120.00","100.00","150.00","52.00","N/A","6.00","6.00","TMAN",2011-04-02
" 50.0"," 68.0"," 90.0"," 70.0"," 86.0"," 78.0"," 23.0","145.0"," 44.0","  5.0","  5.0"," 37.0","144.0","100.0"," 80.0"," 70.0","153.0","156.0"," 20.0"," 34.0","  8.0","  7.5","HO",2011-04-02
"38.00","32.00","30.00","70.00","60.00","60.00","70.00","100.00","N/A","7.00","8.00","62.00","67.00","90.00","40.00","120.00","120.00","140.00","N/A","N/A","9.00","7.00","TAMALE",2011-04-02
"42.00","50.00","35.00","65.00","54.00","56.00","50.00","100.00","N/A","8.00","6.00","28.00","N/A","60.00","N/A","80.00","120.00",NA,"N/A","N/A","7.00","7.00","BOLGA",2011-04-02
"39.00","54.00","37.00","69.00","72.00","62.00","36.00","99.00","N/A","10.00","N/A","40.00","213.00","19.00","134.00","200.00","117.00","130.00","N/A","N/A","10.00","6.00","WA",2011-04-02
