"Maize","Rice - Local","Imporetd Rice","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"86.00","95.00","135.00","N/A","86.00","85.00","25.00","165.00","65.00","11.00","14.00","39.00","160.00","115.00","90.00","137.00","162.00","238.00","24.00","28.00","8.00","8.00","ACCRA",2011-08-06
"100"," 80"," 80"," 70","130","130"," 40","400"," 40"," 12"," 20"," 30","220","130","150","130","150","340"," 50"," 35"," 24","  7","TEMA",2011-08-06
"100.00","60.00","80.00","65.00","100.00","90.00","30.00","250.00","85.00","6.00","10.00","32.00","N/A","120.00","200.00","150.00","160.00","240.00","30.00","25.00","24.00","7.50","SEKTDI",2011-08-06
"92.00","80.00","130.00","N/A","90.00","90.00","23.00","160.00","70.00","10.00","11.00","31.00","200.00","10.00","60.00","150.00","160.00","305.00","24.00","30.00","8.00","6.50","KDUA",2011-08-06
" 90.0"," 90.0","134.0"," 67.0","100.0","110.0"," 17.0","200.0"," 80.0","  4.5","  8.0"," 30.0","130.0"," 70.0","130.0","170.0","150.0","200.0","  8.0"," 15.0","  7.0","  7.0","CCOAST",2011-08-06
"100.0"," 90.0","134.0"," 65.0"," 92.0","130.0"," 14.0","200.0"," 80.0","  8.0"," 10.0"," 30.0"," 80.0"," 42.0","100.0","170.0","140.0","200.0"," 20.0"," 14.0","  7.5","  7.5","MKESSIM",2011-08-06
" 85.0"," 69.0"," 76.0"," 85.0"," 75.0"," 70.0"," 20.0","150.0"," 30.0","  3.0","  5.6"," 24.0","155.0","100.0"," 60.0","100.0","100.0","200.0"," 11.0"," 24.0","  3.5","  7.0","KUMASI",2011-08-06
"67.00","65.00","85.00","60.00","60.00","60.00","8.00","200.00","50.00","5.00","10.00","35.00","90.00","80.00","50.00","N/A","150.00","260.00","18.00","N/A","12.00","6.00","EJURA",2011-08-06
"100.00","48.00","100.00","75.00","90.00","95.00","10.00","140.00","45.00","5.00","7.00","25.00","100.00","25.00","65.00","N/A","200.00","210.00","10.00","20.00","7.00","6.50","OBUASI",2011-08-06
" 72"," 65","136","100"," 85"," 85"," 16","100"," 56","  6","  6"," 32","125"," 50"," 70","140","140","185"," 25"," 25"," 10","  6","SUNYANI",2011-08-06
"69.00","55.00","135.00","48.00","70.00","70.00","23.00","240.00","70.00","6.00","12.00","25.00","160.00","84.00","50.00","130.00","110.00","240.00","20.00","N/A","5.00","5.00","TMAN",2011-08-06
"73.00","79.00","103.00","78.00","89.00","100.00","24.00","230.00","N/A","10.00","11.00","43.00","144.00","50.00","50.00","130.00","196.00","213.00","20.00","N/A","9.00","8.00","HO",2011-08-06
"60.00","52.00","140.00","40.00","72.00","68.00","60.00","N/A","N/A","10.00","12.00","43.00","38.00","N/A","80.00","110.00","120.00","200.00","N/A","N/A","N/A","7.00","TAMALE",2011-08-06
"60.00","70.00","140.00","45.00","70.00","70.00","50.00","140.00","N/A","12.00","11.00","28.00","N/A","N/A","200.00","100.00","N/A","N/A","N/A","N/A","N/A","7.00","BOLGA",2011-08-06
"71.00","71.00","138.00","55.00","79.00","56.00","35.00","250.00","N/A","15.00","N/A","43.00","266.00","67.00","148.00","140.00","124.00","188.00","N/A","N/A","20.00","7.00","WA",2011-08-06
