"Maize","Rice - Local","Paddy Rice","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"58.00","76.00","N/A","76.00","83.00","79.00","26.00","163.00","59.00","6.00","7.00","44.00","155.00","172.00","103.00","136.00","157.00","16.00","41.00","7.00","7.00","ACCRA",2011-01-29
" 67"," 80"," 70"," 80","130","130"," 40","250"," 60","  6"," 15"," 40","200","250"," 70","170","200"," 50"," 35","  7","  7","TEMA",2011-01-29
" 63.0"," 60.0"," 55.0"," 60.0"," 85.0"," 85.0"," 30.0","250.0",NA,"  7.0","  9.0"," 36.0",NA,"200.0","130.0","200.0","160.0"," 30.0"," 20.0","  6.0","  7.5","SEKTDI",2011-01-29
"65.00","65.00","N/A","66.00","90.00","90.00","26.00","150.00","75.00","5.00","6.50","30.00","250.00","150.00","120.00","140.00","180.00","20.00","36.00","6.00","6.50","KDUA",2011-01-29
" 81.0"," 65.0"," 62.0"," 80.0"," 95.0"," 95.0"," 18.0","200.0"," 80.0","  5.0","  9.0"," 32.0","120.0","180.0"," 50.0","130.0","140.0"," 14.0"," 16.0","  6.0","  6.5","CCOAST",2011-01-29
" 80.0"," 65.0"," 65.0"," 80.0"," 96.0","120.0"," 15.0","180.0"," 65.0","  5.0","  8.0"," 27.0"," 95.0","220.0"," 75.0","130.0","150.0"," 12.0"," 15.0","  6.5","  6.7","MKESSIM",2011-01-29
" 45.0"," 50.0"," 86.0"," 72.0"," 68.0"," 60.0"," 20.0","145.0"," 30.0","  3.5","  5.8"," 22.0","140.0","100.0","150.0"," 95.0","140.0"," 10.0"," 23.0","  3.4","  6.5","KUMASI",2011-01-29
"40.00","45.00","48.00","85.00","60.00","55.00","18.00","100.00","50.00","3.00","7.00","35.00","120.00","65.00","100.00","85.00","150.00","18.00","N/A","9.00","6.00","EJURA",2011-01-29
" 75"," 90"," 65","108","115","120"," 12","140"," 60","  6"," 10"," 30","120","105"," 80","140","130"," 15"," 45","  7","  7","OBUASI",2011-01-29
" 44.0"," 50.0"," 65.0"," 78.0"," 80.0"," 80.0"," 18.0","180.0"," 64.0","  3.0","  4.5"," 36.0","150.0"," 60.0","120.0","130.0","140.0"," 27.0"," 33.0","  6.0","  5.7","SUNYANI",2011-01-29
"37.00","40.00","48.00","90.00","68.00","62.00","12.00","165.00","118.00","2.00","16.00","22.00","200.00","56.00","80.00","100.00","140.00","26.00","N/A","3.50","5.50","TMAN",2011-01-29
"50.00","68.00","N/A","64.00","60.00","78.00","23.00","140.00","47.00","4.00","4.50","46.00","184.00","84.00","84.00","153.00","156.00","20.00","38.00","7.00","7.50","HO",2011-01-29
"38.00","30.00","25.00","70.00","60.00","60.00","70.00","120.00","N/A","7.00","8.00","40.00","67.00","90.00","N/A","120.00","120.00","N/A","N/A","9.00","7.00","TAMALE",2011-01-29
"42.00","50.00","N/A","65.00","50.00","53.00","N/A","100.00","N/A","N/A","N/A","N/A","N/A","60.00","N/A","110.00","98.00","N/A","N/A","7.00","N/A","BOLGA",2011-01-29
"36.00","54.00","37.00","69.00","64.00","58.00","36.00","90.00","N/A","10.00","N/A","40.00","267.00","31.00","134.00","117.00","120.00","N/A","N/A","10.00","6.00","WA",2011-01-29
