"Maize","Rice - Local","Paddy Rice","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"67.00","87.00","N/A","76.00","82.00","82.00","26.00","193.00","63.00","9.00","11.00","38.00","165.00","185.00","117.00","113.00","160.00","186.00","13.00","43.00","9.00","8.00","ACCRA",2011-04-30
" 75"," 80"," 70"," 80","130","130"," 40","320"," 45","  8"," 15"," 40","200","150","120"," 90","170","280"," 50"," 40"," 12","  7","TEMA",2011-04-30
"70.00","45.00","64.00","55.00","90.00","85.00","26.00","260.00","N/A","7.00","9.00","28.00","N/A","180.00","150.00","180.00","140.00","190.00","25.00","28.00","6.00","7.00","SEKTDI",2011-04-30
"73.00","65.00","N/A","56.00","80.00","80.00","25.00","N/A","70.00","7.00","8.00","28.00","200.00","100.00","50.00","80.00","180.00","200.00","20.00","32.00","N/A","6.50","KDUA",2011-04-30
" 82"," 65"," 65"," 80","100","110"," 18","200"," 70","  6","  9"," 28","140","180"," 80","140","140","150","  8"," 30","  6","  6","CCOAST",2011-04-30
" 80.0"," 62.5"," 67.0"," 90.0"," 96.0","130.0"," 19.0","200.0"," 65.0","  6.0","  8.5"," 25.0","140.0","170.0"," 87.0","120.0","160.0","170.0"," 19.0"," 18.0","  8.0","  7.5","MKESSIM",2011-04-30
" 50.0"," 50.0"," 80.0"," 78.0"," 70.0"," 68.0"," 15.0","130.0"," 33.0","  3.0","  5.8"," 22.0"," 82.0"," 80.0"," 50.0"," 84.0","100.0","152.0"," 15.0"," 30.0","  3.0","  6.5","KUMASI",2011-04-30
"50.00","45.00","50.00","75.00","64.00","56.00","12.00","200.00","50.00","5.00","10.00","35.00","90.00","80.00","35.00","100.00","160.00","170.00","18.00","N/A","12.00","6.00","EJURA",2011-04-30
"80.00","45.00","75.00","66.00","100.00","100.00","10.00","200.00","80.00","5.00","10.00","31.00","150.00","120.00","60.00","N/A","250.00","180.00","14.00","50.00","7.00","6.00","OBUASI",2011-04-30
" 48.0"," 50.0"," 65.0"," 84.0"," 80.0"," 80.0"," 25.0","185.0"," 56.0","  3.5","  4.5"," 30.0","115.0","150.0"," 80.0","120.0","130.0","160.0"," 20.0"," 30.0"," 10.0","  5.5","SUNYANI",2011-04-30
"46.00","40.00","40.00","81.00","55.00","60.00","23.00","240.00","85.00","4.00","6.00","18.00","137.00","69.00","50.00","N/A","102.00","145.00","35.00","N/A","6.00","6.00","TMAN",2011-04-30
" 62.0"," 68.0"," 90.0"," 70.0"," 86.0"," 78.0"," 23.0","157.0"," 43.0","  5.0","  5.0"," 37.0","144.0","125.0"," 80.0","120.0","153.0","156.0"," 17.0"," 36.0","  8.0","  7.5","HO",2011-04-30
"38.00","35.00","30.00","70.00","54.00","46.00","70.00","100.00","N/A","7.00","8.00","56.00","60.00","90.00","40.00","100.00","150.00","140.00","N/A","N/A","9.00","7.00","TAMALE",2011-04-30
"43.00","60.00","34.00","65.00","56.00","54.00","50.00","120.00","N/A","10.00","8.00","28.00","N/A","90.00","N/A","80.00","120.00","N/A","N/A","N/A",NA,"7.00","BOLGA",2011-04-30
"43.00","57.00","54.00","70.00","72.00","58.00","36.00","140.00","N/A","10.00","N/A","40.00","267.00","120.00","100.00","120.00","117.00","144.00","N/A","N/A","20.00","6.00","WA",2011-04-30
