"Maize(New)","RiceLocal (perfumed)","Rice Local(Non-perfumed)","Rice Imported (Perfumed)","Rice Imported(Non-perfumed)","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"100.00","128.00","94.00","138.00","95.00","N/A","108.00","118.00","41.00","200.00","79.00","12.00","14.00","41.00","182.00","119.00","110.00","80.00","180.00","285.00","27.00","38.00","10.00","9.00","ACCRA",2012-02-04
"108.00","110.00","100.00","135.00","93.00","70.00","120.00","120.00","60.00","N/A","60.00","5.00","15.00","30.00","150.00","80.00","150.00","90.00","167.00","450.00","40.00","40.00","8.00","8.00","TEMA",2012-02-04
"120.00","60.00","40.00","100.00","75.00","80.00","130.00","120.00","32.00","300.00","80.00","8.00","12.00","36.00","N/A","150.00","170.00","100.00","220.00","300.00","34.00","35.00","8.00","8.50","SEKTDI",2012-02-04
"100.00","80.00","55.00","130.00","70.00","N/A","120.00","120.00","27.00","160.00","70.00","6.00","7.50","31.00","280.00","160.00","110.00","85.00","180.00","300.00","28.00","45.00","6.00","7.50","KDUA",2012-02-04
"121"," 90"," 70","140"," 90"," 70","100","110"," 20","200","100","  6","  9"," 34","180","130","180","150","150","250"," 18"," 20","  5","  8","CCOAST",2012-02-04
"130.0"," 93.0"," 73.0","155.0"," 94.0"," 74.0","100.0","150.0"," 18.0","220.0"," 84.0","  5.0","  9.0"," 32.0","170.0","100.0","160.0","110.0","170.0","265.0"," 22.0"," 20.0","  6.7","  7.8","MKESSIM",2012-02-04
"100.0"," 75.0"," 70.0","140.0","100.0","100.0"," 95.0"," 95.0"," 25.0","170.0"," 42.0","  4.5","  7.2"," 33.0","162.0","120.0"," 80.0"," 80.0","140.0","240.0"," 32.0"," 36.0","  5.0","  8.0","KUMASI",2012-02-04
"62.00","80.00","N/A","85.00","75.00","60.00","75.00","75.00","10.00","180.00","50.00","5.00","10.00","35.00","140.00","30.00","60.00","170.00","170.00","260.00","26.00","N/A","9.00","6.50","EJURA",2012-02-04
"130"," 50"," 48","122","105"," 90","100","120"," 13","240"," 60","  9"," 14"," 28","150","160","150"," 85","250","250"," 10"," 35","  7","  8","OBUASI",2012-02-04
" 80.0"," 70.0"," 70.0","147.0"," 94.0"," 60.0","100.0"," 90.0"," 23.0","160.0"," 90.0","  4.5","  5.0"," 35.0","150.0","120.0","100.0"," 80.0","160.0","250.0"," 35.0"," 35.0","  6.6","  7.0","SUNYANI",2012-02-04
"62.00","65.00","63.00","135.00","98.00","50.00","80.00","85.00","25.00","180.00","77.00","4.00","7.00","26.00","140.00","96.00","73.00","60.00","135.00","250.00","25.00","N/A","4.00","6.50","TMAN",2012-02-04
"82.00","104.00","70.00","135.00","84.00","60.00","100.00","113.00","26.00","170.00","N/A","5.00","5.00","43.00","160.00","100.00","100.00","70.00","163.00","221.00","20.00","42.00","8.00","8.50","HO",2012-02-04
"60.00","54.00","54.00","100.00","83.00","45.00","80.00","68.00","60.00","150.00","N/A","7.00","6.00","43.00","63.00","N/A","90.00","75.00","160.00","220.00","N/A","N/A","10.00","8.00","TAMALE",2012-02-04
"66.00","80.00","70.00","75.00","70.00","55.00","75.00","70.00","N/A","90.00","N/A","10.00","8.00","28.00","N/A","N/A","45.00","80.00","160.00","240.00","N/A","N/A","N/A","8.00","BOLGA",2012-02-04
"60.00","80.00","N/A","170.00","77.00","69.40","78.70","85.60","45.00","150.00","N/A","10.00","15.00","57.00","267.00","166.00","32.70","80.00","175.00","239.20","N/A","N/A","20.00","7.50","WA",2012-02-04
