"Maize(New)","RiceLocal (perfumed)","Rice Local(Non-perfumed)","Rice Imported (Perfumed)","Rice Imported(Non-perfumed)","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"121.00","126.00","94.00","164.00","106.00","N/A","135.00","143.00","59.00","313.00","124.00","43.00","53.00","40.00","251.00","135.00","135.00","130.00","298.00","341.00","26.00","42.00","12.00","9.00","ACCRA",2012-06-16
"125","236","100","160","110",NA,"120","120"," 60","600"," 60"," 30"," 40"," 50","300","120","130","130","253","450"," 50"," 25"," 15","  8","TEMA",2012-06-16
"100.0"," 80.0"," 75.0","120.0"," 90.0"," 85.0","150.0","120.0"," 45.0","300.0"," 85.0","  7.0","  9.0"," 35.0","250.0"," 84.0","180.0","150.0","250.0","280.0"," 40.0"," 40.0","  8.0","  8.5","SEKTDI",2012-06-16
"140.00","80.00","55.00","150.00","100.00","N/A","120.00","120.00","30.00","280.00","80.00","13.00","16.00","28.00","300.00","80.00","80.00","110.00","200.00","340.00","20.00","35.00","10.00","8.00","KDUA",2012-06-16
"167"," 90"," 70","165"," 90"," 76","100","110"," 38","300","160","  8"," 13"," 34","160"," 90","100"," 90","180","300"," 12"," 25","  6","  7","CCOAST",2012-06-16
"145","100"," 80","170"," 98"," 76","125","160"," 31","285","120","  9"," 16"," 30","150"," 52","160","140","200","285"," 27"," 22","  7","  8","MKESSIM",2012-06-16
"140"," 70"," 68","150","100","120","100"," 90"," 30","270"," 50"," 12"," 17"," 40","170","120","100"," 90","200","270"," 35"," 40","  5","  8","KUMASI",2012-06-16
"93.00","90.00","72.50","120.00","95.00","60.00","95.00","95.00","18.00","330.00","70.00","13.00","12.00","24.00","150.00","160.00","80.00","120.00","245.00","350.00","27.00","N/A","12.00","7.50","EJURA",2012-06-16
"140"," 60"," 60","128","105","100","110","130"," 25","300"," 60"," 20"," 35"," 30","140"," 40"," 90","110","250","250"," 10"," 50","  7","  8","OBUASI",2012-06-16
" 96"," 75"," 75","168"," 94"," 60","120","105"," 55","450","135"," 18"," 25"," 36","135"," 40","100","120","210","320"," 25"," 50"," 10","  7","SUNYANI",2012-06-16
" 73.0"," 75.0"," 68.0","150.0","110.0"," 60.0","100.0"," 85.0"," 25.0","260.0","120.0","  7.5","  8.5"," 33.0","200.0"," 42.0"," 44.0"," 60.0","100.0","300.0"," 28.0"," 60.0","  5.0","  7.0","TMAN",2012-06-16
"118.00","120.00","70.00","140.00","84.00","66.00","100.00","118.00","40.00","310.00","N/A","12.00","N/A","46.00","280.00","N/A","95.00","90.00","294.00","262.00","25.00","45.00","9.00","10.00","HO",2012-06-16
"80.00","70.00","60.00","150.00","105.00","30.00","100.00","80.00","60.00","160.00","90.00","10.00","15.00","43.00","68.00","N/A","150.00","80.00","200.00","260.00","","N/A","10.00","9.00","TAMALE",2012-06-16
"78.00","90.00","75.00","120.00","80.00","60.00","120.00","75.00","N/A","120.00","N/A","18.00","15.00","28.00","N/A","N/A","200.00","80.00","220.00","260.00","N/A","N/A","N/A","8.00","BOLGA",2012-06-16
"64.00","89.00","N/A","170.00","80.00","69.00","100.00","86.00","45.00","N/A","N/A","10.00","N/A","57.00","213.00","134.00","120.00","100.00","194.00","239.00","N/A","N/A","25.00","9.00","WA",2012-06-16
