"Maize(New)","RiceLocal (perfumed)","Rice Local(Non-perfumed)","Rice Imported (Perfumed)","Rice Imported(Non-perfumed)","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"97.00","158.00","102.00","141.00","96.00","N/A","115.00","118.00","48.00","235.00","83.00","11.00","15.00","41.00","185.00","133.00","173.00","75.00","183.00","294.00","17.00","44.00","11.00","9.00","ACCRA",2012-03-10
"108","118","100","135"," 93"," 70","120","120"," 50","400"," 60"," 15"," 20"," 50","200"," 80","230"," 65","167","450"," 40"," 40","  8","  8","TEMA",2012-03-10
"100.00","90.00","70.00","100.00","85.00","80.00","120.00","100.00","40.00","280.00","90.00","7.00","10.00","35.00","N/A","150.00","180.00","85.00","170.00","270.00","35.00","35.00","8.00","8.50","SEKTDI",2012-03-10
" 94.0"," 80.0"," 55.0","130.0"," 70.0",NA,"120.0","120.0"," 24.0",NA," 75.0","  6.5","  7.5"," 31.0","250.0","140.0","120.0"," 70.0","180.0","320.0"," 20.0"," 40.0","  6.0","  7.5","KDUA",2012-03-10
"121.0"," 90.0"," 70.0","140.0"," 90.0"," 70.0","100.0","110.0"," 22.0","200.0","100.0","  6.5"," 10.0"," 34.0","180.0","130.0","160.0"," 90.0","150.0","250.0","150.0"," 20.0","  5.0","  7.0","CCOAST",2012-03-10
"130.0"," 90.0"," 75.0","160.0"," 94.0"," 76.0","110.0","155.0"," 20.0","250.0","160.0","  6.5"," 10.0"," 30.0","180.0","120.0","150.0","100.0","170.0","270.0"," 27.0"," 20.0","  6.0","  7.0","MKESSIM",2012-03-10
"110.0"," 70.0"," 70.0","140.0"," 95.0"," 90.0"," 88.0"," 85.0"," 22.0","200.0"," 40.0","  4.8","  7.0"," 35.0","160.0","100.0"," 70.0"," 75.0","135.0","220.0"," 28.0"," 45.0","  4.0","  8.0","KUMASI",2012-03-10
" 61.0"," 90.0"," 80.0"," 85.0"," 75.0"," 60.0"," 75.0"," 75.0"," 15.0","180.0"," 80.0","  5.0","  8.0"," 35.0","132.0"," 20.0"," 65.0","150.0","180.0","280.0"," 26.0",NA,"  9.0","  6.5","EJURA",2012-03-10
"130"," 50"," 48","128","105"," 90","100","120"," 15","240"," 60"," 12"," 17"," 28","150","180","160"," 70","260","250"," 10"," 40","  7","  8","OBUASI",2012-03-10
" 80"," 70"," 70","140"," 89"," 60","100"," 90"," 25","180"," 72","  5","  5"," 35","135","128","180"," 80","160","260"," 25"," 40","  7","  7","SUNYANI",2012-03-10
" 62.0"," 66.0"," 63.0","135.0"," 98.0"," 45.0"," 80.0"," 85.0"," 24.0","185.0"," 60.0","  5.0","  7.0"," 26.0","190.0"," 90.0"," 80.0"," 50.0","150.0","250.0"," 25.0"," 60.0","  6.0","  6.5","TMAN",2012-03-10
" 82.0","100.0"," 70.0","136.0"," 85.0"," 66.0","100.0","118.0"," 27.0","200.0",NA,"  6.0"," 12.0"," 43.0","160.0",NA,"150.0"," 70.0","185.0","221.0"," 20.0"," 42.0","  9.0","  8.5","HO",2012-03-10
" 64"," 56"," 54","140"," 83"," 64"," 80"," 80"," 60","150",NA,"  8","  9"," 43"," 67",NA,"120"," 62","160","240",NA,NA," 10","  8","TAMALE",2012-03-10
" 66"," 80"," 70"," 75"," 72"," 50"," 78"," 70",NA," 90",NA," 12"," 15"," 28",NA,NA," 75"," 70","180","240",NA,NA,NA,"  9","BOLGA",2012-03-10
" 70.0"," 80.0",NA,"170.0"," 77.0"," 66.0"," 79.0"," 86.0"," 45.0","190.0",NA," 10.0",NA," 57.0","267.0","133.0"," 29.0"," 80.0","156.0","239.0",NA,NA," 20.0","  7.5","WA",2012-03-10
