"Maize","RiceLocal (perfumed)","Rice Local(Non-perfumed)","Rice Imported (Perfumed)","Rice Imported(Non-perfumed)","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"111.00","93.00","69.00","155.00","120.00","N/A","126.00","133.00","64.00","400.00","120.00","32.00","41.00","40.00","170.00","55.00","150.00","140.00","278.00","357.00","N/A","45.00","10.00","9.00","ACCRA",2012-07-21
"125","118","100","170","130",NA,"120","120"," 60",NA," 60"," 20"," 50"," 50","300","130","150","150","253","450"," 50"," 40"," 12","  8","TEMA",2012-07-21
"130.0","120.0"," 90.0","120.0"," 85.0"," 85.0","160.0","140.0"," 60.0","380.0"," 90.0"," 12.0"," 14.0"," 35.0",NA," 60.0","120.0","150.0","250.0","350.0"," 45.0"," 45.0","  8.0","  8.5","SEKTDI",2012-07-21
"130.00","N/A","N/A","150.00","100.00","N/A","130.00","120.00","35.00","N/A","80.00","18.00","20.00","31.00","300.00","48.00","80.00","150.00","220.00","340.00","28.00","45.00","12.00","8.00","KDUA",2012-07-21
"154"," 90"," 70","150","100"," 75","100","110"," 41","400","220"," 16"," 20"," 34","130"," 70"," 80","150","180","300"," 13"," 15","  6","  7","CCOAST",2012-07-21
"130.0"," 95.0"," 80.0","165.0"," 98.0"," 75.0","120.0","160.0"," 28.0","300.0","137.0","  7.6"," 14.0"," 30.0","100.0"," 25.0","100.0","160.0","190.0","270.0"," 26.0"," 20.0","  7.3","  8.2","MKESSIM",2012-07-21
"120.0"," 75.0"," 70.0","160.0","140.0","140.0"," 90.0"," 90.0"," 20.0","450.0"," 70.0"," 12.0"," 30.0"," 30.0","150.0"," 48.0"," 35.0","115.0","200.0","300.0"," 30.0"," 40.0","  6.5","  8.0","KUMASI",2012-07-21
"76.00","75.00","68.00","140.00","90.00","85.00","80.00","105.00","19.00","180.00","100.00","15.00","12.00","24.00","160.00","100.00","50.00","120.00","180.00","350.00","27.00","N/A","17.00","7.50","EJURA",2012-07-21
"140"," 60"," 60","128","105","100","110","130"," 25","300","100"," 20"," 35"," 30","120"," 80"," 60","120","240","270"," 10"," 50","  7","  8","OBUASI",2012-07-21
" 96"," 80"," 80","171"," 92"," 60","130","105"," 55","450","135"," 18"," 20"," 36","125"," 30"," 80","150","210","320"," 30"," 60"," 10","  7","SUNYANI",2012-07-21
" 70"," 75"," 68","150","110"," 65","110"," 85"," 25","350","140"," 14"," 15"," 33","175"," 42"," 38","120","210","280"," 28"," 25","  5","  7","TMAN",2012-07-21
"109.00","120.00","70.00","140.00","85.00","66.00","119.00","118.00","40.00","400.00","N/A","14.00","N/A","46.00","240.00","N/A","65.00","100.00","294.00","246.00","22.00","48.00","9.00","9.50","HO",2012-07-21
"72.00","70.00","64.00","160.00","120.00","60.00","100.00","80.00","60.00","190.00","N/A","15.00","20.00","43.00","80.00","N/A","90.00","90.00","220.00","260.00","N/A","N/A","10.00","9.00","TAMALE",2012-07-21
"70.00","90.00","70.00","150.00","80.00","N/A","105.00","70.00","N/A","250.00","N/A","20.00","18.00","30.00","N/A","N/A","100.00","90.00","220.00","N/A","N/A","N/A","N/A","8.00","BOLGA",2012-07-21
"64.00","89.00","N/A","170.00","80.00","73.00","97.00","97.00","45.00","N/A","N/A","10.00","N/A","57.00","213.00","100.00","150.00","150.00","214.00","239.00","N/A","N/A","25.00","9.00","WA",2012-07-21
