"Maize (New)","Rice Local (Perfumed)","Rice Local (Non-perfumed)","Rice Imported (Perfumed)","Rice Imported (Non-perfume","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"90.00","128.00","82.00","167.00","112.00","N/A","147.00","137.00","66.00","300.00","112.00","31.00","38.00","43.00","248.00","120.00","157.00","162.00","338.00","284.00","N/A","41.00","10.00","9.00","ACCRA",2012-09-15
"83.00","140.00","100.00","170.00","114.00","N/A","130.00","130.00","80.00","N/A","N/A","7.00","10.00","70.00","250.00","150.00","250.00","260.00","350.00","200.00","50.00","40.00","13.00","8.00","TEMA",2012-09-15
"100.00","120.00","100.00","150.00","100.00","85.00","160.00","120.00","65.00","320.00","100.00","10.00","15.00","36.00","N/A","120.00","180.00","260.00","280.00","260.00","35.00","25.00","8.00","8.50","SEKTDI",2012-09-15
"92.00","N/A","N/A","150.00","100.00","N/A","130.00","120.00","45.00","N/A","80.00","13.00","15.00","31.00","400.00","100.00","200.00","260.00","220.00","340.00","27.00","30.00","6.00","8.00","KDUA",2012-09-15
" 88","100"," 75","160","100"," 80","120","130"," 34","300","220"," 13"," 17"," 32","130"," 80","180","160","200","300"," 15"," 20","  8","  8","CCOAST",2012-09-15
" 85.0","100.0"," 78.0","180.0","100.0"," 85.0","120.0","150.0"," 25.0","160.0","140.0","  6.4"," 12.0"," 38.0","100.0"," 47.0","170.0","180.0","185.0","250.0"," 27.0"," 18.0","  9.5","  8.6","MKESSIM",2012-09-15
" 80.0"," 70.0"," 65.0","150.0","160.0","155.0"," 95.0"," 90.0"," 25.0","250.0"," 60.0"," 10.0"," 27.0"," 30.0","155.0"," 80.0","110.0","160.0","200.0","280.0"," 25.0"," 46.0","  5.5","  8.0","KUMASI",2012-09-15
"38.00","75.00","110.00","156.00","108.00","140.00","140.00","90.00","25.00","200.00","200.00","10.00","15.00","24.00","150.00","30.00","50.00","300.00","450.00","260.00","27.00","N/A","17.00","7.50","EJURA",2012-09-15
" 80"," 50"," 50","100"," 87","100","110","130"," 30","200"," 80"," 10"," 20"," 30","108"," 80","140","260","270","210"," 10"," 30","  7","  8","OBUASI",2012-09-15
" 48.0"," 75.0"," 75.0","164.0"," 94.0"," 80.0","140.0","110.0"," 60.0"," 80.0","135.0"," 10.0"," 10.0"," 36.0","100.0"," 40.0","150.0","250.0","250.0","230.0"," 30.0"," 35.0","  6.0","  6.8","SUNYANI",2012-09-15
"68.00","80.00","75.00","160.00","110.00","65.00","N/A","95.00","25.00","180.00","140.00","12.00","15.00","28.00","150.00","40.00","63.00","150.00","160.00","250.00","24.00","35.00","5.00","7.00","TMAN",2012-09-15
"73.00","120.00","70.00","140.00","84.00","90.00","119.00","118.00","45.00","270.00","N/A","13.00","N/A","52.00","280.00","N/A","160.00","190.00","381.00","246.00","30.00","50.00","9.00","9.00","HO",2012-09-15
"48.00","70.00","33.00","170.00","120.00","60.00","140.00","80.00","60.00","90.00","N/A","15.00","20.00","43.00","112.00","N/A","70.00","170.00","300.00","200.00","72.00","N/A","10.00","9.00","TAMALE",2012-09-15
"60.00","90.00","52.00","150.00","90.00","35.00","140.00","70.00","N/A","100.00","N/A","20.00","18.00","30.00","N/A","N/A","60.00","100.00","N/A","N/A","N/A","N/A","N/A","8.00","BOLGA",2012-09-15
"64.00","89.00","N/A","170.00","80.00","73.00","107.00","97.00","50.00","90.00","N/A","10.00","N/A","57.00","213.00","19.00","39.00","150.00","214.00","188.00","N/A","N/A","35.00","8.00","WA",2012-09-15
