"Maize(New)","RiceLocal (perfumed)","Rice Local(Non-perfumed)","Rice Imported (Perfumed)","Rice Imported(Non-perfumed)","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"103.00","150.00","100.00","139.00","94.00","N/A","117.00","119.00","46.00","233.00","86.00","12.00","16.00","39.00","185.00","117.00","172.00","69.00","190.00","280.00","24.00","42.00","10.00","9.00","ACCRA",2012-03-24
"108","118","100","135"," 93"," 70","120","120"," 50","450"," 50"," 18"," 25"," 50","200"," 70","200"," 70","200","450"," 40"," 40"," 10","  8","TEMA",2012-03-24
" 90.0"," 80.0"," 70.0","120.0"," 85.0"," 84.0","110.0","100.0"," 45.0","280.0"," 90.0","  8.0"," 10.0"," 35.0",NA,"180.0","180.0","100.0","200.0","270.0"," 35.0"," 38.0","  8.0","  8.5","SEKTDI",2012-03-24
"94.00","80.00","55.00","130.00","70.00","N/A","120.00","120.00","24.00","200.00","75.00","6.50","7.00","28.00","280.00","160.00","100.00","70.00","180.00","230.00","20.00","40.00","8.00","7.50","KDUA",2012-03-24
"121.0"," 90.0"," 70.0","140.0"," 90.0"," 70.0","100.0","110.0"," 22.0","250.0","130.0","  6.5"," 10.0"," 34.0","180.0","130.0","170.0"," 90.0","150.0","250.0"," 15.0"," 22.0","  5.0","  6.5","CCOAST",2012-03-24
"130.0"," 93.0"," 75.0","160.0"," 95.0"," 76.0","110.0","155.0"," 21.0","260.0"," 98.0","  7.6"," 12.0"," 30.0","200.0","130.0","130.0","110.0","170.0","275.0"," 19.0"," 20.0","  7.5","  7.8","MKESSIM",2012-03-24
"105.0"," 75.0"," 70.0","140.0"," 96.0"," 90.0"," 90.0"," 85.0"," 30.0","220.0"," 45.0","  5.5","  8.0"," 35.0","160.0"," 88.0","100.0"," 65.0","140.0","220.0"," 20.0"," 45.0","  4.2","  8.0","KUMASI",2012-03-24
"65.00","90.00","73.00","85.00","70.00","60.00","75.00","75.00","15.00","180.00","80.00","5.00","7.00","24.00","160.00","180.00","95.00","90.00","188.00","280.00","27.00","N/A","9.00","7.00","EJURA",2012-03-24
"130"," 50"," 48","128","105"," 90","100","120"," 20","240"," 60"," 15"," 20"," 30","150","180","170"," 70","200","250"," 10"," 40","  7","  8","OBUASI",2012-03-24
" 80.0"," 70.0"," 70.0","139.0"," 88.0"," 60.0","100.0"," 90.0"," 30.0","180.0"," 63.0","  6.0","  7.0"," 35.0","140.0","120.0","180.0"," 90.0","160.0","260.0"," 25.0"," 40.0","  7.0","  6.5","SUNYANI",2012-03-24
" 62"," 67"," 63","135"," 98"," 45"," 82"," 85"," 24","190"," 55","  8","  7"," 26","190","110"," 82"," 50","160","260"," 25"," 50","  6","  7","TMAN",2012-03-24
"83.00","104.00","70.00","136.00","85.00","66.00","100.00","110.00","32.00","185.00","N/A","7.00","10.00","40.00","160.00","120.00","130.00","70.00","185.00","221.00","20.00","45.00","10.00","9.00","HO",2012-03-24
"64.00","56.00","54.00","140.00","83.00","46.00","80.00","80.00","50.00","150.00","N/A","8.00","9.00","43.00","67.00","N/A","120.00","62.00","160.00","240.00","N/A","N/A","10.00","8.00","TAMALE",2012-03-24
"70.00","80.00","70.00","75.00","72.00","52.00","80.00","70.00","N/A","90.00","N/A","12.00","15.00","28.00","N/A","N/A","75.00","70.00","180.00","240.00","N/A","N/A","8.00","N/A","BOLGA",2012-03-24
"57.00","81.00","N/A","170.00","77.00","65.00","79.00","86.00","45.00","160.00","N/A","10.00","N/A","57.00","267.00","100.00","39.00","80.00","175.00","239.00","N/A","N/A","20.00","8.00","WA",2012-03-24
