"Maize","Rice Local (Perfumed)","Rice Local (Non-perfumed)","Rice Imported (Perfumed)","Rice Imported (Non-perfume","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"88.00","128.00","90.00","162.00","106.00","N/A","160.00","162.00","65.00","295.00","80.00","8.00","10.00","46.00","227.00","77.00","125.00","317.00","336.00","276.00","N/A","43.00","10.00","9.00","ACCRA",2012-12-01
"100.00","N/A","N/A","160.00","N/A","N/A","130.00","130.00","75.00","400.00","160.00","8.00","10.00","94.00","300.00","150.00","150.00","320.00","250.00","232.00","70.00","50.00","8.00","8.00","TEMA",2012-12-01
"83.00","130.00","120.00","160.00","120.00","90.00","180.00","150.00","60.00","280.00","90.00","10.00","16.00","44.00","N/A","160.00","220.00","310.00","260.00","290.00","45.00","40.00","10.00","8.50","SEKTDI",2012-12-01
"88.00","N/A","N/A","150.00","100.00","N/A","200.00","130.00","45.00","200.00","80.00","11.00","13.00","50.00","350.00","110.00","120.00","320.00","300.00","320.00","40.00","45.00","7.00","8.00","KDUA",2012-12-01
" 96.0","100.0"," 65.0","160.0","100.0"," 90.0","150.0","160.0"," 40.0","270.0","230.0"," 11.0"," 15.0"," 34.0","140.0","100.0","180.0","330.0","220.0","250.0"," 20.0"," 25.0","  8.0","  8.5","CCOAST",2012-12-01
" 95.0"," 98.0"," 85.0","180.0","100.0"," 90.0","160.0","170.0"," 27.0","255.0","170.0","  6.0"," 10.0"," 44.0","120.0"," 34.0","150.0","370.0","230.0","260.0"," 33.0"," 24.0","  8.0","  8.7","MKESSIM",2012-12-01
" 80.0"," 70.0"," 65.0","160.0","115.0","140.0","140.0","120.0"," 30.0","240.0"," 55.0","  5.0"," 13.0"," 50.0","150.0"," 32.0"," 40.0","350.0","170.0","220.0"," 30.0"," 45.0","  5.2","  7.5","KUMASI",2012-12-01
"49.00","75.00","100.00","140.00","120.00","120.00","150.00","100.00","25.00","220.00","200.00","7.00","8.00","24.00","100.00","30.00","154.00","320.00","220.00","280.00","30.00","N/A","17.00","8.00","EJURA",2012-12-01
"100.0"," 50.0"," 50.0","120.0"," 87.0","100.0","175.0","130.0"," 40.0","210.0","100.0","  8.0"," 16.0"," 30.0","100.0"," 80.0","100.0","360.0","300.0","210.0"," 10.0"," 30.0","  7.0","  8.5","OBUASI",2012-12-01
" 56"," 65"," 65","170","105"," 80","140","110"," 75","180","135","  5","  6"," 62","100"," 24","120","450","210","240"," 35"," 50","  5","  7","SUNYANI",2012-12-01
" 42"," 75"," 75","160","115"," 60","160","100"," 30","200","100","  9"," 12"," 36","175"," 35"," 31","146","150","260"," 25"," 35","  5","  8","TMAN",2012-12-01
"91.00","120.00","70.00","145.00","85.00","90.00","N/A","131.00","43.00","225.00","N/A","6.00","N/A","72.00","240.00","N/A","150.00","N/A","381.00","240.00","50.00","N/A","8.00","9.00","HO",2012-12-01
"48.00","80.00","72.00","160.00","120.00","55.00","180.00","100.00","60.00","100.00","N/A","10.00","15.00","43.00","67.00","20.00","80.00","120.00","180.00","200.00","N/A","N/A","N/A","10.00","TAMALE",2012-12-01
"50.00","90.00","70.00","110.00","90.00","55.00","150.00","70.00","N/A","200.00","N/A","8.00","10.00","30.00","N/A","N/A","180.00","200.00","N/A","N/A","N/A","N/A","N/A","8.00","BOLGA",2012-12-01
"50.00","89.00","N/A","170.00","80.00","73.00","143.00","97.00","50.00","160.00","N/A","20.00","N/A","57.00","320.00","66.00","38.00","450.00","155.00","222.00","N/A","N/A","35.00","8.00","WA",2012-12-01
