"Maize(New)","RiceLocal (perfumed)","Rice Local(Non-perfumed)","Rice Imported (Perfumed)","Rice Imported(Non-perfumed)","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"96.00","100.00","78.00","141.00","95.00","N/A","10.00","121.00","38.00","217.00","82.00","12.00","15.00","39.00","173.00","121.00","152.00","77.00","180.00","286.00","26.00","29.00","10.00","9.00","ACCRA",2012-02-18
"108.00","110.00","100.00","135.00","93.00","70.00","120.00","120.00","60.00","250.00","60.00","5.00","15.00","50.00","180.00","80.00","150.00","75.00","167.00","450.00","N/A","40.00","8.00","8.00","TEMA",2012-02-18
"100.00","95.00","75.00","85.00","75.00","90.00","130.00","110.00","40.00","280.00","90.00","7.00","10.00","35.00","N/A","120.00","200.00","100.00","180.00","300.00","40.00","45.00","8.00","8.50","SEKTDI",2012-02-18
"100.00","80.00","55.00","130.00","70.00","N/A","120.00","120.00","26.00","160.00","76.00","6.00","7.00","31.00","300.00","140.00","80.00","70.00","180.00","340.00","28.00","40.00","5.00","7.50","KDUA",2012-02-18
"121"," 90"," 70","140"," 90"," 70","100","110"," 20","200","100","  6","  9"," 34","180","130","150","150","150","250"," 18"," 20","  5","  8","CCOAST",2012-02-18
"130.0"," 93.0"," 73.0","155.0"," 95.0"," 75.0","100.0","150.0"," 19.0","230.0"," 82.0","  5.0","  9.5"," 30.0","180.0"," 96.0","175.0","120.0","170.0","205.0"," 17.0"," 20.0","  8.0","  8.0","MKESSIM",2012-02-18
"100.0"," 75.0"," 70.0","140.0"," 90.0"," 90.0"," 92.0"," 90.0"," 25.0","165.0"," 42.0","  4.5","  7.5"," 34.0","162.0","124.0"," 90.0"," 80.0","140.0","240.0"," 24.0"," 42.0","  4.2","  8.0","KUMASI",2012-02-18
"62.00","68.00","80.00","85.00","75.00","60.00","75.00","75.00","10.00","180.00","50.00","5.00","10.00","35.00","140.00","30.00","60.00","70.00","170.00","260.00","26.00","N/A","9.00","6.00","EJURA",2012-02-18
"130"," 50"," 48","128","105"," 90","100","120"," 15","240"," 60"," 10"," 15"," 28","145","160","130"," 85","260","250"," 10"," 35","  7","  8","OBUASI",2012-02-18
" 72"," 70"," 70","141"," 85"," 60","100"," 90"," 25","170"," 90","  5","  5"," 35","140","120","150"," 70","160","250"," 35"," 35","  6","  7","SUNYANI",2012-02-18
"62.00","67.00","63.00","135.00","98.00","50.00","85.00","85.00","25.00","160.00","60.00","3.00","6.00","26.00","175.00","96.00","63.00","60.00","160.00","230.00","25.00","N/A","5.00","6.50","TMAN",2012-02-18
"82.00","104.00","70.00","136.00","85.00","60.00","100.00","113.00","28.00","170.00","N/A","6.00","10.00","43.00","176.00","N/A","110.00","70.00","163.00","221.00","22.00","N/A","10.00","8.50","HO",2012-02-18
"60.00","56.00","54.00","100.00","83.00","45.00","80.00","68.00","60.00","150.00","N/A","7.00","6.00","43.00","63.00","N/A","90.00","75.00","160.00","220.00","N/A","N/A","10.00","8.00","TAMALE",2012-02-18
"66.00","80.00","70.00","75.00","70.00","60.00","75.00","72.00","N/A","110.00","N/A","10.00","8.00","28.00","N/A","N/A","48.00","80.00","160.00","240.00","N/A","N/A","N/A","8.00","BOLGA",2012-02-18
"57.00","80.00","N/A","170.00","77.00","65.00","89.00","87.00","45.00","150.00","N/A","10.00","15.00","57.00","267.00","166.00","28.00","90.00","175.00","239.00","N/A","N/A","20.00","7.50","WA",2012-02-18
