"Maize(New)","RiceLocal (perfumed)","Rice Local(Non-perfumed)","Rice Imported (Perfumed)","Rice Imported(Non-perfumed)","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"106.00","93.00","72.00","132.00","95.00","N/A","108.00","118.00","33.00","203.00","77.00","10.00","13.00","42.00","182.00","123.00","148.00","82.00","178.00","285.00","26.00","41.00","10.00","9.00","ACCRA",2012-01-28
"108.00","100.00","55.00","135.00","92.00","70.00","120.00","120.00","60.00","N/A","60.00","5.00","12.00","30.00","150.00","70.00","170.00","85.00","160.00","400.00","40.00","40.00","8.00","8.00","TEMA",2012-01-28
"120.00","80.00","50.00","130.00","65.00","80.00","130.00","120.00","32.00","300.00","80.00","8.00","12.00","36.00","N/A","150.00","170.00","100.00","220.00","300.00","35.00","34.00","8.00","8.50","SEKTDI",2012-01-28
"100.00","80.00","55.00","130.00","70.00","N/A","120.00","120.00","26.00","160.00","70.00","6.00","7.50","31.00","280.00","160.00","110.00","80.00","180.00","300.00","28.00","40.00","6.00","7.50","KDUA",2012-01-28
"121"," 90"," 70","140"," 90"," 70","100","110"," 20","200","100","  6","  8"," 34","180","130","180","150","150","180"," 20"," 20","  5","  8","CCOAST",2012-01-28
"120.0"," 92.0"," 73.0","155.0"," 94.0"," 75.0","100.0","150.0"," 17.0","220.0"," 82.0","  4.8","  9.0"," 34.0","150.0"," 96.0","180.0","120.0","170.0","265.0"," 23.0"," 19.0","  6.0","  8.0","MKESSIM",2012-01-28
"100.0"," 65.0"," 64.0","140.0"," 95.0"," 92.0"," 92.0"," 92.0"," 24.0","160.0"," 40.0","  4.5","  6.5"," 30.0","180.0","125.0"," 90.0"," 95.0","130.0","200.0"," 35.0"," 35.0","  4.0","  7.5","KUMASI",2012-01-28
"82.00","68.00","60.00","95.00","85.00","60.00","90.00","80.00","15.00","180.00","120.00","5.00","7.00","32.00","160.00","50.00","80.00","130.00","170.00","260.00","26.00","N/A","9.00","6.50","EJURA",2012-01-28
"130.0"," 50.0"," 48.0","122.0","105.0"," 90.0","100.0","120.0"," 13.0","240.0"," 60.0","  9.0"," 14.0"," 28.0","150.0","160.0","150.0"," 85.0","250.0","250.0"," 10.0"," 35.0","  7.0","  8.5","OBUASI",2012-01-28
" 80"," 70"," 70","142"," 83"," 60","100"," 90"," 23","160"," 90","  4","  4"," 35","125","140","100","135","160","250"," 35"," 35","  6","  7","SUNYANI",2012-01-28
"65.00","65.00","62.00","135.00","90.00","50.00","80.00","85.00","25.00","165.00","75.00","4.00","7.00","26.00","22.00","100.00","82.00","120.00","135.00","250.00","25.00","N/A","4.00","6.00","TMAN",2012-01-28
"82.00","104.00","70.00","135.00","84.00","60.00","100.00","113.00","26.00","170.00","N/A","5.00","5.00","43.00","160.00","100.00","100.00","70.00","163.00","221.00","22.00","42.00","8.00","8.50","HO",2012-01-28
"60.00","90.00","54.00","100.00","83.00","45.00","80.00","68.00","60.00","160.00","N/A","7.00","6.00","43.00","63.00","N/A","90.00","75.00","160.00","220.00","N/A","N/A","10.00","10.00","TAMALE",2012-01-28
"66.00","70.00","65.00","72.00","70.00","55.00","75.00","70.00","N/A","90.00","N/A","10.00","8.00","28.00","N/A","N/A","60.00","100.00","160.00","240.00","N/A","N/A","N/A","8.00","BOLGA",2012-01-28
"64.00","80.00","N/A","170.00","77.00","58.00","79.00","78.00","45.00","140.00","N/A","10.00","15.00","57.00","267.00","166.00","43.00","150.00","155.00","222.00","N/A","N/A","20.00","7.50","WA",2012-01-28
