"Maize","RiceLocal (perfumed)","Rice Local(Non-perfumed)","Rice Imported (Perfumed)","Rice Imported(Non-perfumed)","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"118.00","139.00","96.00","164.00","116.00","N/A","131.00","136.00","62.00","437.00","105.00","34.00","42.00","43.00","262.00","112.00","128.00","145.00","308.00","357.00","30.00","43.00","10.00","9.00","ACCRA",2012-08-11
"125","118","100","170","130",NA,"120","120"," 65",NA,"120"," 20"," 42"," 50","300","150","150","165","255","450"," 50"," 45"," 12","  9","TEMA",2012-08-11
"130.0"," 90.0"," 85.0","120.0"," 90.0"," 85.0","130.0","120.0"," 60.0","300.0"," 90.0"," 10.0"," 15.0"," 35.0",NA," 60.0","100.0","150.0","300.0","370.0"," 40.0"," 45.0","  9.0","  8.5","SEKONDI",2012-08-11
"92.00","N/A","N/A","150.00","100.00","N/A","130.00","120.00","35.00","N/A","80.00","18.00","22.00","31.00","300.00","64.00","150.00","150.00","220.00","340.00","28.00","40.00","10.00","8.00","KDUA",2012-08-11
" 96","100"," 80","165","100"," 80","120","130"," 40","300","220"," 14"," 18"," 32","130"," 70","120","150","200","300"," 14"," 15","  7","  6","CCOAST",2012-08-11
" 95.0"," 97.5"," 77.5","165.0","100.0"," 78.0","120.0","155.0"," 26.0","250.0","147.0","  7.0"," 12.0"," 32.0","100.0"," 30.0","110.0","165.0","180.0","275.0"," 28.0"," 18.0","  8.4","  8.5","MKESSIM",2012-08-11
"120"," 60"," 60","128","105","100","110","130"," 25","300"," 80"," 15"," 25"," 30","110"," 40"," 60","150","240","270"," 10"," 50","  7","  8","KUMASI",2012-08-11
"34.00","65.00","45.00","140.00","120.00","85.00","80.00","105.00","20.00","160.00","100.00","15.00","10.00","24.00","170.00","100.00","70.00","120.00","180.00","300.00","27.00","N/A","17.00","7.50","EJURA",2012-08-11
"120"," 60"," 60","128","105","100","110","130"," 25","300"," 80"," 15"," 25"," 30","110"," 40"," 60","150","240","270"," 10"," 50","  7","  8","OBUASI",2012-08-11
" 80.0"," 80.0"," 80.0","173.0"," 93.0"," 60.0","130.0","105.0"," 55.0","170.0","135.0"," 17.0"," 20.0"," 36.0","100.0"," 24.0"," 80.0","150.0","240.0","320.0"," 30.0"," 60.0","  6.0","  6.8","SUNYANI",2012-08-11
" 69"," 80"," 75","160","110"," 70","110"," 80"," 24","150","150"," 17"," 12"," 28","150"," 20"," 50","115","200","250"," 21"," 35","  6","  7","TMAN",2012-08-11
"82.00","120.00","70.00","140.00","85.00","90.00","119.00","118.00","45.00","350.00","N/A","14.00","N/A","46.00","280.00","N/A","75.00","140.00","294.00","246.00","25.00","55.00","10.00","9.50","HO",2012-08-11
"72.00","70.00","33.50","150.00","120.00","60.00","112.00","80.00","50.00","170.00","N/A","10.00","15.00","43.00","68.00","N/A","100.00","90.00","240.00","200.00","N/A","N/A","10.00","9.00","TAMALE",2012-08-11
"67.00","90.00","73.00","140.00","86.00","N/A","105.00","70.00","N/A","180.00","N/A","25.00","20.00","30.00","N/A","N/A","160.00","90.00","230.00","N/A","N/A","N/A","N/A","8.00","BOLGA",2012-08-11
"68.00","89.50","N/A","170.00","80.00","73.00","107.00","93.00","45.00","N/A","N/A","10.00","N/A","57.00","213.00","100.00","23.00","150.00","195.00","222.00","N/A","N/A","30.00","8.00","WA",2012-08-11
