"Maize(New)","RiceLocal (perfumed)","Rice Local(Non-perfumed)","Rice Imported (Perfumed)","Rice Imported(Non-perfumed)","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"97.00","125.00","92.00","143.00","96.00","N/A","113.00","116.00","41.00","223.00","83.00","13.00","16.00","41.00","177.00","122.00","160.00","75.00","188.00","289.00","26.00","41.00","10.00","9.00","ACCRA",2012-02-25
"108","115","100","135"," 93"," 70","120","120"," 40","300"," 60"," 10"," 15"," 50","200"," 80","200"," 70","167","450"," 40"," 40","  8","  8","TEMA",2012-02-25
"100.00","75.00","70.00","90.00","80.00","80.00","110.00","100.00","40.00","280.00","90.00","7.00","10.00","35.00","N/A","120.00","200.00","100.00","180.00","280.00","40.00","35.00","7.00","8.00","SEKTDI",2012-02-25
"94.00","80.00","55.00","130.00","70.00","N/A","120.00","120.00","27.00","N/A","76.00","6.50","7.50","31.00","280.00","140.00","120.00","70.00","180.00","320.00","20.00","35.00","6.00","7.50","KDUA",2012-02-25
"113"," 90"," 70","140"," 90"," 70","100","110"," 22","220","100","  6","  9"," 34","180","130","160","150","150","250"," 18"," 20","  5","  7","CCOAST",2012-02-25
"130.0"," 90.0"," 75.0","160.0"," 94.0"," 75.0","100.0","150.0"," 18.0","230.0"," 95.0","  5.4","  9.0"," 30.0","175.0"," 95.0","160.0","120.0","170.0","270.0"," 18.0"," 19.0","  7.6","  8.0","MKESSIM",2012-02-25
"100"," 75"," 70","140"," 95"," 85"," 90"," 88"," 24","180"," 40","  5","  7"," 34","162","140"," 80"," 65","140","240"," 25"," 40","  4","  8","KUMASI",2012-02-25
"69.00","90.00","80.00","85.00","75.00","60.00","75.00","75.00","15.00","180.00","80.00","4.00","8.00","35.00","132.00","30.00","65.00","70.00","180.00","280.00","26.00","N/A","9.00","6.50","EJURA",2012-02-25
"130"," 50"," 48","128","105"," 90","100","120"," 15","240"," 60"," 12"," 17"," 28","145","160","130"," 65","260","250"," 10"," 35","  7","  8","OBUASI",2012-02-25
" 72"," 70"," 70","141"," 83"," 60","100"," 90"," 25","160"," 90","  4","  4"," 35","125","120","150"," 70","160","250"," 35"," 40","  6","  7","SUNYANI",2012-02-25
"62.00","67.00","63.00","135.00","98.00","45.00","85.00","85.00","25.00","180.00","60.00","3.00","6.00","26.00","175.00","96.00","62.00","50.00","150.00","260.00","25.00","N/A","6.00","6.50","TMAN",2012-02-25
"82.00","104.00","70.00","140.00","85.00","60.00","100.00","118.00","27.00","175.00","N/A","6.50","10.00","43.00","160.00","N/A","135.00","70.00","185.00","221.00","20.00","38.00","10.00","8.50","HO",2012-02-25
"60.00","56.00","54.00","140.00","84.00","42.00","80.00","80.00","60.00","150.00","N/A","8.00","9.00","28.00","67.00","N/A","90.00","70.00","200.00","240.00","N/A","N/A","10.00","7.00","TAMALE",2012-02-25
"66.00","80.00","70.00","75.00","70.00","50.00","75.00","70.00","N/A","90.00","N/A","10.00","8.00","28.00","N/A","N/A","60.00","70.00","168.00","240.00","N/A","N/A","N/A","8.00","BOLGA",2012-02-25
"57.00","80.00","N/A","170.00","77.00","65.00","79.00","78.00","45.00","150.00","N/A","10.00","15.00","57.00","267.00","166.00","19.00","80.00","175.00","239.00","N/A","N/A","20.00","7.50","WA",2012-02-25
