"Maize","Rice Local (Perfumed)","Rice Local (Non-perfumed)","Rice Imported (Perfumed)","Rice Imported (Non-perfume","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"82.00","155.00","75.00","163.00","104.00","N/A","130.00","125.00","68.00","385.00","82.00","9.00","12.00","47.00","220.00","70.00","150.00","450.00","265.00","255.00","N/A","31.00","10.00","9.00","ACCRA",2012-12-22
"100.00","N/A","N/A","160.00","N/A","N/A","180.00","180.00","85.00","400.00","140.00","8.00","10.00","N/A","300.00","150.00","150.00","350.00","250.00","233.00","100.00","50.00","10.00","9.00","TEMA",2012-12-22
"100.00","130.00","120.00","140.00","150.00","100.00","190.00","190.00","70.00","400.00","95.00","8.00","15.00","45.00","N/A","100.00","150.00","380.00","200.00","300.00","45.00","35.00","10.00","9.00","SEKTDI",2012-12-22
"88.00","N/A","N/A","150.00","100.00","N/A","200.00","130.00","50.00","240.00","80.00","11.00","14.00","50.00","300.00","60.00","100.00","240.00","300.00","320.00","40.00","45.00","8.00","10.00","KDUA",2012-12-22
"105","100"," 85","160","100"," 90","150","160"," 41","270","230"," 10"," 14"," 42","140","100","170","380","220","250"," 18"," 26","  7","  8","CCOAST",2012-12-22
"100.0","100.0"," 90.0","180.0","110.0"," 90.0","160.0","170.0"," 36.0","280.0","185.0","  6.0"," 10.0"," 48.0","130.0"," 46.0","150.0","380.0","230.0","260.0"," 35.0"," 25.0","  7.6","  8.7","MKESSIM",2012-12-22
" 75"," 65"," 73","160","105","100","130","110"," 40","200"," 70","  8"," 13"," 50","132"," 48"," 25","330","180","280"," 30"," 40","  5","  8","KUMASI",2012-12-22
"46.00","75.00","100.00","140.00","120.00","120.00","150.00","100.00","25.00","220.00","200.00","7.00","8.00","24.00","100.00","30.00","50.00","380.00","160.00","250.00","30.00","N/A","17.00","8.00","EJURA",2012-12-22
" 90.0"," 50.0"," 50.0","110.0"," 87.0"," 90.0","175.0","130.0"," 35.0","250.0","100.0","  5.0"," 14.0"," 30.0"," 92.0"," 40.0"," 70.0","430.0","240.0","230.0"," 10.0"," 30.0","  7.0","  8.5","OBUASI",2012-12-22
" 56"," 75"," 75","142","105"," 80","150","110"," 75","180","135","  5","  6"," 62","100"," 60"," 60","500","210","240"," 50"," 60","  6","  7","SUNYANI",2012-12-22
" 46"," 78"," 80","160","115"," 60","140"," 90"," 36","300","110","  8"," 10"," 36","140"," 35"," 19","204","150","220"," 30"," 37","  5"," 10","TMAN",2012-12-22
"90.00","120.00","70.00","145.00","85.00","90.00","N/A","181.00","43.00","240.00","N/A","6.00","N/A","72.00","240.00","N/A","85.00","N/A","327.00","246.00","50.00","55.00","8.00","9.50","HO",2012-12-22
"48.00","70.00","80.00","80.00","120.00","55.00","180.00","100.00","60.00","100.00","N/A","10.00","15.00","43.00","67.00","20.00","80.00","120.00","180.00","200.00","N/A","N/A","10.00","9.00","TAMALE",2012-12-22
"55.00","93.00","73.00","125.00","90.00","70.00","100.00","92.00","N/A","180.00","N/A","10.00","12.00","30.00","N/A","N/A","120.00","220.00","N/A","N/A","N/A","N/A","N/A","8.00","BOLGA",2012-12-22
"54.00","90.00","N/A","170.00","110.00","66.00","125.00","97.00","50.00","160.00","N/A","20.00","N/A","57.00","320.00","100.00","38.00","458.00","195.00","222.00","N/A","N/A","35.00","8.00","WA",2012-12-22
