"Maize(New)","RiceLocal (perfumed)","Rice Local(Non-perfumed)","Rice Imported (Perfumed)","Rice Imported(Non-perfumed)","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"98.00","93.00","65.00","154.00","95.00","N/A","117.00","118.00","29.00","197.00","75.00","9.00","10.00","43.00","177.00","120.00","550.00","135.00","165.00","307.00","30.00","46.00","11.00","9.00","ACCRA",2012-01-07
"108.00","100.00","55.00","130.00","92.00","70.00","120.00","120.00","40.00","N/A","60.00","6.00","12.00","30.00","150.00","70.00","450.00","160.00","160.00","400.00","N/A","40.00","10.00","8.00","TEMA",2012-01-07
"120.00","60.00","50.00","90.00","70.00","80.00","100.00","90.00","30.00","240.00","90.00","8.00","9.00","34.00","N/A","80.00","250.00","260.00","160.00","280.00","30.00","40.00","7.00","9.00","SEKTDI",2012-01-07
"110.00","80.00","55.00","130.00","70.00","N/A","120.00","120.00","26.00","160.00","76.00","7.00","8.00","31.00","300.00","160.00","300.00","170.00","180.00","312.00","28.00","35.00","7.00","8.00","KDUA",2012-01-07
" 97"," 90"," 70","140"," 90"," 70","100","110"," 20","260","120","  6","  9"," 34","150","120","220","180","160","250"," 15"," 20","  5","  8","CCOAST",2012-01-07
"120.0"," 90.0"," 75.0","150.0"," 94.0"," 70.0"," 95.0","150.0"," 17.0","200.0"," 83.0","  4.5","  8.5"," 35.0","120.0"," 87.0","300.0","120.0","160.0","270.0"," 18.0"," 18.0","  5.0","  8.0","MKESSIM",2012-01-07
"100.0"," 70.0"," 60.0","130.0"," 85.0"," 95.0"," 90.0"," 95.0"," 22.0","160.0"," 38.0","  5.0","  7.5"," 30.0","152.0","120.0","160.0","120.0","130.0","220.0"," 32.0"," 40.0","  5.0","  8.0","KUMASI",2012-01-07
"84.00","68.00","60.00","90.00","85.00","60.00","90.00","80.00","12.00","180.00","120.00","5.00","7.00","32.00","160.00","50.00","45.00","150.00","160.00","260.00","26.00","N/A","9.00","8.00","EJURA",2012-01-07
"130"," 50"," 48","122","105"," 90"," 90"," 98"," 13","240"," 60","  7"," 12"," 28","130","100","200","120","152","230"," 10"," 35","  7","  7","OBUASI",2012-01-07
" 80.0"," 70.0"," 70.0","142.0"," 81.0"," 60.0","100.0"," 90.0"," 20.0","150.0"," 72.0","  3.0","  3.0"," 32.0","125.0"," 50.0","150.0","200.0","160.0","250.0"," 30.0"," 30.0","  6.0","  6.8","SUNYANI",2012-01-07
"69.00","70.00","62.00","140.00","98.00","50.00","89.00","90.00","24.00","160.00","72.00","4.00","6.50","22.50","140.00","100.00","94.00","N/A","136.00","240.00","24.00","N/A","4.00","6.50","TMAN",2012-01-07
"83.00","90.00","70.00","140.00","86.00","60.00","100.00","113.00","25.00","155.00","N/A","4.00","4.00","40.00","144.00","100.00","120.00","150.00","153.00","205.00","25.00","42.00","8.00","8.00","HO",2012-01-07
"64.00","56.00","54.00","97.00","82.00","42.00","88.00","80.00","60.00","100.00","N/A","8.00","9.00","43.00","56.00","N/A","80.00","120.00","140.00","240.00","N/A","N/A","10.00","8.00","TAMALE",2012-01-07
"70.00","70.00","65.00","75.00","70.00","50.00","75.00","70.00","N/A","90.00","N/A","8.00","10.00","28.00","N/A","N/A","200.00","120.00","160.00","220.00","N/A","N/A","N/A","8.00","BOLGA",2012-01-07
"64.00","79.00","N/A","140.00","77.00","58.00","71.00","77.00","35.00","160.00","N/A","15.00","N/A","57.00","267.00","142.00","57.00","150.00","155.00","222.00","N/A","N/A","20.00","7.50","WA",2012-01-07
