"Maize","RiceLocal (perfumed)","Rice Local(Non-perfumed)","Rice Imported (Perfumed)","Rice Imported(Non-perfumed)","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"111.00","137.00","95.00","162.00","115.00","N/A","121.00","125.00","58.00","350.00","120.00","35.00","43.00","42.00","190.00","55.00","80.00","120.00","308.00","318.00","N/A","42.00","9.00","9.00","ACCRA",NA
"125","140","100","170","130",NA,"120","120"," 60",NA,"120"," 10"," 15"," 50","300","140","150","130","253","450"," 50"," 45"," 14","  8","TEMA",NA
"130.0"," 60.0"," 45.0","100.0"," 90.0"," 85.0","150.0","140.0"," 60.0","280.0"," 80.0"," 12.0"," 20.0"," 35.0","350.0"," 90.0","150.0","170.0","220.0","300.0"," 45.0"," 30.0"," 10.0","  8.5","SEKONDI",NA
"92.00","N/A","N/A","150.00","100.00","N/A","130.00","120.00","35.00","N/A","80.00","15.00","20.00","31.00","300.00","80.00","140.00","170.00","220.00","340.00","28.00","42.00","10.00","8.00","KDUA",NA
" 96","100"," 75","160","100"," 80","120","130"," 40","250","220"," 14"," 17"," 32","130"," 80","140","150","200","300"," 15"," 16","  9","  8","CCOAST",NA
" 90.0"," 95.0"," 75.0","170.0","100.0"," 80.0","120.0","150.0"," 24.0","200.0","160.0","  7.0"," 13.5"," 33.0"," 95.0"," 35.0","120.0","170.0","190.0","275.0"," 22.5"," 19.0","  8.0","  8.5","MKESSIM",NA
"100.0"," 70.0"," 65.0","150.0","100.0","140.0"," 94.0"," 90.0"," 20.0","300.0"," 55.0"," 11.0"," 20.0"," 30.0","135.0"," 40.0"," 60.0","130.0","200.0","250.0"," 26.0"," 40.0","  5.0","  7.5","KUMASI",NA
"43.00","75.00","110.00","156.00","108.00","140.00","140.00","90.00","20.00","200.00","200.00","10.00","15.00","24.00","150.00","30.00","50.00","180.00","300.00","260.00","27.00","N/A","17.00","7.50","EJURA",NA
"120"," 60"," 60","128","105","100","110","130"," 25","250"," 80","  8"," 12"," 30","100"," 40","100","120","240","270"," 10"," 30","  7","  8","OBUASI",NA
" 56.0"," 80.0"," 90.0","173.0"," 93.0"," 60.0","130.0","105.0"," 55.0","105.0","135.0"," 16.0"," 18.0"," 36.0"," 75.0"," 32.0","100.0","140.0","220.0","230.0"," 35.0"," 60.0","  6.0","  6.8","SUNYANI",NA
" 65"," 80"," 75","160","110"," 70","130"," 85"," 24","190","150"," 12"," 17"," 28","150"," 40"," 50","110","250","250"," 21"," 33","  5","  7","TMAN",NA
"82.00","120.00","70.00","140.00","84.00","90.00","119.00","118.00","42.00","315.00","N/A","14.00","N/A","46.00","280.00","N/A","100.00","170.00","294.00","221.00","25.00","55.00","9.00","9.00","HO",NA
"68.00","64.00","70.00","160.00","64.00","60.00","112.00","80.00","60.00","120.00","N/A","15.00","20.00","43.00","80.00","N/A","120.00","120.00","240.00","180.00","N/A","N/A","10.00","9.00","TAMALE",NA
"70.00","90.00","73.00","150.00","90.00","60.00","120.00","70.00","N/A","170.00","N/A","22.00","20.00","30.00","N/A","N/A","160.00","100.00","N/A","N/A","N/A","N/A","N/A","8.00","BOLGA",NA
"65.00","89.00","N/A","170.00","80.00","73.00","107.00","97.50","N/A","120.00","N/A","10.00","N/A","57.00","212.00","66.00","13.50","150.00","195.00","239.00","N/A","N/A","35.00","8.00","WA",NA
