"Maize(New)","RiceLocal (perfumed)","Rice Local(Non-perfumed)","Rice Imported (Perfumed)","Rice Imported(Non-perfumed)","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"98.00","143.00","100.00","141.00","95.00","N/A","119.00","128.00","44.00","220.00","82.00","11.00","14.00","40.00","188.00","122.00","152.00","79.00","180.00","297.00","18.00","40.00","9.00","9.00","ACCRA",NA
"108","118","100","135"," 93"," 70","120","120"," 45","400"," 60","  8"," 15"," 40","200"," 80","180"," 75","167","450"," 40"," 40","  8","  8","TEMA",NA
"100.00","80.00","70.00","100.00","85.00","80.00","120.00","100.00","45.00","300.00","90.00","7.50","9.00","35.00","N/A","150.00","180.00","80.00","180.00","260.00","30.00","35.00","8.00","8.00","SEKTDI",NA
"94.00","80.00","55.00","130.00","70.00","N/A","120.00","120.00","25.00","N/A","75.00","6.00","7.50","31.00","250.00","160.00","100.00","65.00","180.00","320.00","20.00","40.00","6.00","7.50","KDUA",NA
"113.0"," 90.0"," 70.0","140.0"," 90.0"," 70.0","100.0","110.0"," 20.0","200.0","100.0","  5.0","  9.0"," 34.0","180.0","130.0","150.0"," 90.0","150.0","250.0"," 15.0"," 20.0","  5.0","  7.5","CCOAST",NA
"130.0"," 93.0"," 75.0","160.0"," 93.0"," 75.0","100.0","155.0"," 19.0","240.0"," 90.0","  5.5","  9.2"," 30.0","180.0","100.0","150.0","110.0","170.0","270.0"," 20.0"," 20.0","  8.0","  8.0","MKESSIM",NA
"100.0"," 73.0"," 70.0","140.0"," 96.0"," 86.0"," 90.0"," 90.0"," 25.0","200.0"," 44.0","  5.0","  7.6"," 35.0","162.0","120.0"," 75.0"," 70.0","140.0","130.0"," 24.0"," 42.0","  4.0","  8.0","KUMASI",NA
"60.00","90.00","80.00","85.00","75.00","35.00","60.00","75.00","15.00","180.00","80.00","4.00","8.00","35.00","132.00","30.00","65.00","70.00","180.00","280.00","26.00","N/A","9.00","6.50","EJURA",NA
"130"," 50"," 45","128","105"," 90","100","120"," 15","240"," 60"," 12"," 17"," 28","140","160","130"," 65","260","250"," 10"," 35","  7","  8","OBUASI",NA
" 80"," 70"," 70","141"," 86"," 60","100"," 90"," 20","180"," 90","  5","  5"," 35","125","120","170"," 70","160","260"," 25"," 40","  6","  7","SUNYANI",NA
" 62.0"," 67.0"," 63.0","135.0"," 98.0"," 45.0"," 80.0"," 85.0"," 24.0","180.0"," 60.0","  5.0","  7.0"," 26.0","190.0"," 90.0"," 78.0"," 50.0","150.0","160.0"," 25.0"," 60.0","  6.0","  6.5","TMAN",NA
"82.00","100.00","70.00","135.00","85.00","60.00","100.00","118.00","26.00","175.00","N/A","7.00","11.00","43.00","160.00","N/A","150.00","70.00","185.00","221.00","20.00","N/A","9.00","8.50","HO",NA
"60.00","56.00","54.00","140.00","83.00","46.00","80.00","80.00","50.00","150.00","N/A","8.00","9.00","48.00","57.00","N/A","90.00","62.00","160.00","240.00","N/A","N/A","10.00","8.00","TAMALE",NA
"66.00","80.00","70.00","75.00","72.00","60.00","75.00","70.00","N/A","100.00","N/A","10.00","8.00","28.00","N/A","N/A","100.00","60.00","160.00","240.00","N/A","N/A","N/A","8.00","BOLGA",NA
"60.00","80.00","N/A","170.00","77.00","65.00","79.00","86.00","45.00","150.00","N/A","10.00","15.00","57.00","267.00","166.00","32.00","80.00","175.00","239.00","N/A","N/A","20.00","7.50","WA",NA
