"Maize(New)","RiceLocal (perfumed)","Rice Local(Non-perfumed)","Rice Imported (Perfumed)","Rice Imported(Non-perfumed)","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"104.00","135.00","92.00","147.00","96.00","N/A","110.00","118.00","33.00","197.00","73.00","11.00","13.00","45.00","172.00","117.00","148.00","92.00","187.00","217.00","32.00","42.00","10.00","9.00","ACCRA",2012-01-21
"108.00","110.00","110.00","130.00","100.00","70.00","120.00","120.00","60.00","N/A","60.00","5.00","12.00","30.00","150.00","70.00","150.00","90.00","160.00","400.00","70.00","40.00","8.00","8.00","TEMA",2012-01-21
"120.00","75.00","50.00","95.00","90.00","80.00","110.00","90.00","32.00","250.00","90.00","7.00","9.00","35.00","N/A","100.00","280.00","150.00","160.00","280.00","35.00","40.00","7.00","8.00","SEKTDI",2012-01-21
"100.00","80.00","55.00","130.00","70.00","N/A","120.00","120.00","26.00","160.00","76.00","5.00","6.00","31.00","250.00","160.00","80.00","90.00","180.00","312.00","28.00","40.00","7.00","7.50","KDUA",2012-01-21
"121"," 90"," 70","140"," 90"," 70","100","110"," 20","200","100","  6","  8"," 34","180","130","180","150","150","180"," 20"," 20","  5","  8","CCOAST",2012-01-21
"130"," 90"," 73","155"," 94"," 75","100","150"," 18","200"," 92","  5","  9"," 34","150","100","200","130","165","260"," 20"," 17","  7","  8","MKESSIM",2012-01-21
"100.0"," 70.0"," 60.0","140.0"," 95.0"," 90.0"," 90.0"," 92.0"," 20.0","140.0"," 35.0","  4.2","  7.0"," 30.0","180.0","125.0"," 95.0","100.0","135.0","200.0"," 30.0"," 34.0","  4.0","  8.0","KUMASI",2012-01-21
"84.00","68.00","60.00","95.00","85.00","60.00","90.00","80.00","15.00","180.00","120.00","5.00","7.00","32.00","160.00","50.00","50.00","130.00","160.00","260.00","26.00","N/A","9.00","6.50","EJURA",2012-01-21
"130"," 50"," 48","122","105"," 90","100","120"," 15","240"," 60","  9"," 14"," 28","150","160","120"," 85","250","250"," 10"," 35","  7","  8","OBUASI",2012-01-21
" 80"," 70"," 70","142"," 83"," 60","100"," 90"," 23","160"," 90","  4","  4"," 35","125","140","100","135","160","250"," 35"," 35","  6","  7","SUNYANI",2012-01-21
"65.00","65.00","62.00","135.00","90.00","50.00","80.00","85.00","25.00","165.00","75.00","4.00","7.00","26.00","22.00","100.00","82.00","120.00","135.00","250.00","25.00","N/A","4.00","6.00","TMAN",2012-01-21
"82.00","90.00","70.00","135.00","87.00","60.00","100.00","113.00","26.00","150.00","N/A","4.00","4.50","43.00","160.00","125.00","100.00","100.00","163.00","221.00","25.00","42.00","8.00","8.00","HO",2012-01-21
"64.00","56.00","27.00","100.00","82.00","42.00","88.00","80.00","60.00","150.00","N/A","9.00","8.00","43.00","56.00","N/A","70.00","100.00","160.00","240.00","N/A","N/A","10.00","8.00","TAMALE",2012-01-21
"66.00","70.00","65.00","75.00","70.00","60.00","75.00","70.00","N/A","100.00","N/A","8.00","10.00","28.00","N/A","N/A","140.00","N/A","165.00","200.00","N/A","N/A","N/A","8.00","BOLGA",2012-01-21
"64.00","81.00","N/A","140.00","77.00","58.00","79.00","86.00","35.00","140.00","N/A","15.00","N/A","57.00","267.00","166.00","63.00","120.00","156.00","222.00","N/A","N/A","20.00","7.50","WA",2012-01-21
