"Maize(New)","RiceLocal (perfumed)","Rice Local(Non-perfumed)","Rice Imported (Perfumed)","Rice Imported(Non-perfumed)","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"106.00","124.00","83.00","141.00","96.00","N/A","122.00","122.00","54.00","252.00","88.00","17.00","21.00","40.00","188.00","133.00","175.00","73.00","216.00","340.00","24.00","45.00","11.00","9.00","ACCRA",2012-04-28
"NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","TEMA",2012-04-28
"120.00","85.00","80.00","110.00","85.00","84.00","120.00","100.00","60.00","320.00","100.00","8.00","10.00","36.00","N/A","150.00","400.00","100.00","260.00","340.00","40.00","45.00","10.00","8.50","SEKTDI",2012-04-28
"145.00","80.00","55.00","150.00","100.00","N/A","120.00","120.00","30.00","200.00","75.00","9.00","10.00","28.00","300.00","120.00","200.00","80.00","180.00","340.00","20.00","40.00","12.00","7.50","KDUA",2012-04-28
"144.0"," 90.0"," 70.0","120.0"," 70.0"," 70.0","100.0","110.0"," 30.0","270.0","140.0","  7.0"," 12.0"," 34.0","170.0","100.0","200.0"," 85.0","160.0","280.0"," 14.0"," 23.0","  5.0","  6.5","CCOAST",2012-04-28
"150.0"," 93.0","150.0","160.0"," 95.0"," 76.0","120.0","150.0"," 26.0","260.0","110.0","  8.0"," 13.5"," 30.0","180.0"," 90.0","180.0","105.0","180.0","280.0"," 17.0"," 19.0","  8.6","  7.7","MKESSIM",2012-04-28
"105.0"," 73.0"," 70.0","140.0"," 95.0","110.0"," 95.0"," 90.0"," 30.0","210.0"," 50.0","  5.5","  8.5"," 40.0","160.0"," 80.0","140.0"," 80.0","150.0","240.0"," 26.0"," 45.0","  4.6","  8.0","KUMASI",2012-04-28
"73.00","90.00","75.00","150.00","70.00","65.00","75.00","75.00","10.00","180.00","70.00","8.00","9.00","24.00","150.00","160.00","80.00","120.00","245.00","350.00","27.00","N/A","12.00","7.50","EJURA",2012-04-28
"130"," 50"," 48","128","105"," 90","100","120"," 20","240"," 60"," 15"," 20"," 30","170","100","200"," 70","200","250"," 10"," 40","  7","  8","OBUASI",2012-04-28
" 88"," 70"," 70","145"," 86"," 60","100"," 90"," 40","220"," 90"," 10"," 12"," 35","150","120","250"," 90","180","260"," 25"," 50","  8","  6","SUNYANI",2012-04-28
" 77.0"," 68.0"," 65.0","150.0","106.0"," 50.0","100.0"," 95.0"," 24.0","240.0"," 80.0","  6.5","  7.5"," 26.0","220.0"," 80.0","150.0"," 60.0","180.0","290.0"," 25.0"," 60.0","  7.0","  7.0","TMAN",2012-04-28
"100.00","100.00","70.00","136.00","85.00","66.00","100.00","118.00","55.00","270.00","N/A","12.00","24.00","40.00","200.00","N/A","170.00","86.00","230.00","230.00","20.00","45.00","10.00","9.00","HO",2012-04-28
"72.00","60.00","54.00","140.00","90.00","46.00","80.00","80.00","60.00","150.00","N/A","12.00","15.00","43.00","68.00","N/A","140.00","75.00","160.00","240.00","N/A","N/A","10.00","8.00","TAMALE",2012-04-28
"70.00","90.00","75.00","150.00","73.00","56.00","100.00","70.00","N/A","100.00","N/A","13.00","15.00","28.00","N/A","N/A","100.00","70.00","220.00","240.00","N/A","N/A","N/A","8.00","BOLGA",2012-04-28
"65.00","80.00","N/A","170.00","77.00","73.00","97.00","86.00","45.00","160.00","N/A","10.00","N/A","57.00","267.00","200.00","87.00","90.00","195.00","256.00","N/A","N/A","20.00","8.00","WA",2012-04-28
